Protein,Desc,R1_t4,R2_t5,R1_t7,R2_t9,R21_t6,R22_t6,R21_t9,R22_t9
Clo1313_0101,ketol-acid reductoisomerase (EC 1.1.1.86)  ,24.10684,24.16184,24.17403,24.07153,23.932735,22.775525,24.348625,22.86323
Clo1313_0102,2-isopropylmalate synthase/homocitrate synthase family protein  ,21.201206640625,21.1254975,20.945254296875,21.08984,20.83234875,20.060715,21.255725,19.8719225
Clo1313_0103,hypothetical protein  ,15.5268,8.8,8.8,8.8,15.29597,15.30834,8.8,8.8
Clo1313_0105,hypothetical protein  ,8.8,8.8,10.28407,12.33399,8.8,8.8,8.8,10.34978
Clo1313_0126,"Lipoprotein LpqB, GerMN domain  ",8.8,8.8,16.09821,14.80463,8.8,8.8,8.8,8.8
Clo1313_0133,alpha-L-arabinofuranosidase domain protein  ,15.1603175,11.1289715,13.8454675,14.380185,8.8,13.39628,8.8,8.8
Clo1313_0152,Radical SAM domain protein  ,8.8,8.8,8.8,8.8,8.8,8.8,16.45433,11.43283
Clo1313_0164,adenylate cyclase  ,13.10417,14.7598,15.77509,8.8,16.11845,8.8,8.8,8.8
Clo1313_0166,iron-containing alcohol dehydrogenase  ,15.2728275,15.7875,16.052925,15.7927725,16.39944,16.7015375,17.77452,15.49541
Clo1313_0168,Dihydropteroate synthase (EC 2.5.1.15)  ,16.00053,16.3386,16.20956,16.0827875,15.20869,16.5148325,16.0444,15.84605
Clo1313_0175,pantothenate kinase (EC 2.7.1.33)  ,18.0307975,17.643525,17.04062,16.835495,17.2949175,17.1785075,18.55515,17.568835
Clo1313_0180,bacterial peptide chain release factor 1 (bRF-1)  ,17.903685,18.49156,17.721005,18.0128425,18.437395,17.653465,18.4773,17.888405
Clo1313_0182,translation factor SUA5  ,12.29782,13.585085,13.22047,13.85333,13.42726,14.290815,8.8,14.10639
Clo1313_0184,ribose-5-phosphate isomerase (EC 5.3.1.6)  ,8.8,8.8,8.8,8.8,8.8,15.23593,12.91605,12.99718
Clo1313_0185,uracil phosphoribosyltransferase (EC 2.4.2.9)  ,19.58338,20.32271,19.218565,19.50931,19.9406825,20.24418,20.3156775,20.20935
Clo1313_0186,CMP/dCMP deaminase zinc-binding protein  ,12.832445,13.29903,8.8,14.604585,13.7138,15.3111,14.66209,15.01143
Clo1313_0188,UDP-N-acetylglucosamine 2-epimerase  ,15.04641,15.53748,8.8,8.8,15.4086975,16.140215,15.6643275,15.817235
Clo1313_0193,ATP synthase F1 subcomplex alpha subunit  ,17.90972,18.03689,17.65388,18.09984,16.489886,17.977025,17.76641,16.825895
Clo1313_0195,ATP synthase F1 subcomplex beta subunit  ,16.873025,16.93937,16.898765,17.25297125,16.705715,16.28601,17.227645,16.325865
Clo1313_0202,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)  ,16.7494275,17.8773375,16.9620575,17.56506,17.588885,16.37642,16.99475,16.9937775
Clo1313_0206,rod shape-determining protein MreB  ,19.431545,19.97062,20.245325,20.064985,18.982975,18.7895,19.79354,19.271275
Clo1313_0213,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.-)  ,8.8,8.8,8.8,8.8,17.7313725,18.09345,18.23039,17.493225
Clo1313_0215,"purine operon repressor, PurR  ",15.870895,16.09287,16.169265,15.8670525,16.089665,16.29242,15.8944,16.15821
Clo1313_0216,SpoVG family protein  ,19.68259,20.4615475,20.80638,20.830075,20.91363765625,21.19200125,21.67812,20.61877
Clo1313_0217,UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23)/glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)  ,16.193925,16.972595,16.02744,17.24699,17.3211975,16.9477875,16.81389,16.510695
Clo1313_0218,ribose-phosphate pyrophosphokinase  ,19.2333975,19.55716,19.400328125,19.67937,19.34024,19.449825,19.40838375,19.7278575
Clo1313_0220,transcription-repair coupling factor  ,8.8,15.34969,16.11569,8.8,15.64511,8.8,17.00187,17.05496
Clo1313_0221,PpiC-type peptidyl-prolyl cis-trans isomerase  ,14.09358,15.106875,16.51912,15.900975,15.23154,16.18172,15.68087,16.23686
Clo1313_0245,MazG family protein  ,15.30398,16.14595,16.15209,16.5763,16.068595,16.63653,16.027675,16.787635
Clo1313_0246,histone family protein DNA-binding protein  ,18.73462,18.7542175,19.4080075,18.4083225,18.430205,19.8769425,20.243835,19.4538125
Clo1313_0255,"ATPase, P-type (transporting), HAD superfamily, subfamily IC  ",16.767275,16.506335,17.084476875,16.983155,15.724,14.929565,16.419185,15.0898
Clo1313_0266,GumN family protein  ,19.15708,18.7559,20.116265,19.62845,18.650805,19.20984,19.371415,19.71505
Clo1313_0276,type IV pilus assembly protein PilM  ,18.729425,18.7404,18.64783,18.965045,17.290125,17.50229,17.8243525,18.094235
Clo1313_0282,galactoside O-acetyltransferase  ,8.8,8.8,12.373805,13.52578,8.8,8.8,8.8,8.8
Clo1313_0283,glycosyl transferase group 1  ,16.34796,16.9437,16.965525,16.16447,16.117975,16.938825,8.8,14.31315
Clo1313_0284,hypothetical protein  ,18.8397825,19.23909,19.10644,20.0956975,18.005125,17.99372,16.6633275,18.47851
Clo1313_0287,"carbohydrate kinase, YjeF related protein  ",16.6895,16.40934,16.55496,16.7975,16.269155,16.34524,17.06018,16.18132
Clo1313_0291,hypothetical protein  ,8.8,8.8,8.8,8.8,8.8,8.8,15.87163,13.43235
Clo1313_0292,N-acetylmannosaminyltransferase (EC 2.4.1.187)  ,8.8,15.44962,16.94099,16.60507,8.8,8.8,17.385275,16.38392
Clo1313_0293,polysaccharide pyruvyl transferase CsaB  ,11.640645,11.93224,12.9161,11.88099,11.571635,13.244355,10.42638,14.57967
Clo1313_0295,transketolase subunit A (EC 2.2.1.1)  ,19.450165,19.19124,19.4064,19.762645,19.9860025,19.84612,20.28977,20.21589
Clo1313_0296,transketolase subunit B (EC 2.2.1.1)  ,19.9879,20.20607,19.872655,19.985165,19.830575,19.7912975,20.026365,19.79478
Clo1313_0297,ABC transporter related protein  ,18.829175,19.6096325,19.37132,19.83461,19.0979925,19.7202175,19.4094,19.83701
Clo1313_0299,ABC-type uncharacterized transport system  ,19.3886875,20.2788675,20.7777125,20.5935,19.4662425,20.61807,20.05492,20.3831375
Clo1313_0300,hypothetical protein  ,17.19502,17.5133725,17.01492,16.6338525,16.0858525,16.6466325,16.4061475,16.0086325
Clo1313_0304,dihydroxy-acid dehydratase  ,22.50309125,22.5579875,22.53816375,22.69485,22.6410540625,21.959053125,23.1446575,22.181
Clo1313_0305,"acetolactate synthase, large subunit (EC 2.2.1.6)  ",20.83580171875,20.795925,20.71136,20.949375,20.9896825,20.29754,21.24417,20.215195
Clo1313_0306,LSU ribosomal protein L33P  ,8.8,17.79717,16.964435,17.43079,16.934435,16.464905,18.220245,17.8561
Clo1313_0308,transcription antitermination protein nusG  ,18.26894,17.91269,18.041325,18.21135,17.467145,17.83376,17.942125,17.30457
Clo1313_0309,LSU ribosomal protein L11P  ,21.4547225,21.3710875,21.536685,21.8163275,21.08502,21.72292,20.997925,21.47959
Clo1313_0310,LSU ribosomal protein L1P  ,22.6375,22.84444,23.1913,23.0885825,21.91072,22.285465,22.54264,22.6189475
Clo1313_0311,LSU ribosomal protein L10P  ,22.876505,22.8108475,22.85759,23.52098,22.2548625,22.8170175,22.365795,23.133775
Clo1313_0312,LSU ribosomal protein L12P  ,20.94397,20.4360875,21.828585,20.77234,19.143465,21.52061,21.3518,21.45012109375
Clo1313_0313,DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)  ,20.0321825,20.55031,20.509505625,20.72502,19.5886175,19.83219953125,20.377765,19.925935
Clo1313_0314,DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6)  ,21.24636,21.4367102929688,21.3079932421875,21.465915,20.35366,20.274115,20.99536,20.55925
Clo1313_0315,LSU ribosomal protein L7AE  ,15.03302,16.34514,16.42125,17.47536,16.40045,17.338615,16.85107,17.340735
Clo1313_0316,SSU ribosomal protein S12P  ,20.8970725,21.32779,21.49183,21.32251,20.90702,21.0250475,21.383385,21.5204775
Clo1313_0317,SSU ribosomal protein S7P  ,22.60063,22.10811,22.78006,22.89961,22.11336,22.56638875,22.6075925,23.070775
Clo1313_0318,translation elongation factor G  ,21.428769453125,21.46878,21.00301,21.3509028710938,21.15805,21.23779203125,21.299495,21.494885
Clo1313_0319,translation elongation factor Tu  ,25.9920075,26.077445,25.77967625,25.82396,25.7925475,25.903745,25.96836,26.2105875
Clo1313_0326,Excinuclease ABC subunit C  ,14.0979,13.34955,8.8,8.8,8.8,8.8,8.8,8.8
Clo1313_0328,trigger factor  ,20.6143425,21.131315,20.72184,20.777401875,21.0376275,20.40972,21.02964,20.337205
Clo1313_0329,"ATP-dependent Clp protease, proteolytic subunit ClpP  ",20.851825,20.821775,20.6923,20.7382575,20.23323,20.647435,20.6624375,20.623865
Clo1313_0330,"ATP-dependent Clp protease, ATP-binding subunit ClpX  ",17.524575,17.090145,17.80591,17.01679,16.58639,17.16881,17.98668,17.1270575
Clo1313_0332,O-sialoglycoprotein endopeptidase (EC 3.4.24.57)  ,14.83036,15.184455,15.1639178125,15.27955,14.51829,14.66771,16.24644,14.673445
Clo1313_0349,endoglucanase Cel9V  ,13.672235,16.05638,16.1409275,14.8191525,8.8,15.14093,8.8,8.8
Clo1313_0387,endoribonuclease L-PSP  ,15.026255,15.455735,15.72052,16.28486,8.8,17.1659575,8.8,17.24538
Clo1313_0388,Cys/Met metabolism pyridoxal-phosphate-dependent protein  ,16.28354,17.12249,17.29219,18.0471,15.150695,18.2526875,16.2054425,19.20101
Clo1313_0389,aminotransferase class I and II  ,8.8,14.879055,14.14888,14.85694,8.8,14.34609,8.8,16.089155
Clo1313_0395,glycoside hydrolase family 5  ,8.8,8.8,16.0123,8.8,13.73856,14.714395,8.8,18.14943
Clo1313_0397,"Glucan endo-1,3-beta-D-glucosidase  ",18.8147575,19.2554625,19.335575,19.24996,18.1800975,17.6688,18.95162,17.49338
Clo1313_0400,glycoside hydrolase family 9  ,18.2284125,18.733035,18.363445,19.228245,17.74059,18.715765,18.662134921875,18.288605
Clo1313_0403,"lysyl-tRNA synthetase, class I (EC 6.1.1.6)  ",18.20973,18.583005,18.06965,18.576155,19.1335,18.116785,19.14938,18.25428
Clo1313_0405,CheW protein  ,8.8,15.472915,16.15376,16.48213,15.185405,8.8,16.50952,8.8
Clo1313_0407,methyl-accepting chemotaxis sensory transducer  ,17.155375,17.4094,17.36996,17.68147,15.262695,8.8,16.822405,8.8
Clo1313_0410,oxidoreductase domain protein  ,15.9479175,15.92993,16.04041,15.36797,16.12741,14.616595,15.96062,14.20993
Clo1313_0413,glycoside hydrolase family 5  ,18.9570025,19.00212,19.62768,19.615455,17.648705,18.56198,17.86472,19.0662775
Clo1313_0415,Phosphoenolpyruvate carboxykinase (GTP)  ,23.35884,23.51177625,23.45174,23.55245,24.43379,24.24244125,24.7961775,24.4088
Clo1313_0416,SSU ribosomal protein S30P/sigma 54 modulation protein  ,20.296485,20.422805,21.034115,21.00149,20.3002575,21.589535,20.25928375,20.94166
Clo1313_0417,ATP-dependent DNA helicase PcrA  ,8.8,8.8,14.51848,14.834855,8.8,14.9532475,8.8,15.6576125
Clo1313_0421,ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)  ,14.240745,13.973796,14.83819,14.80463,14.22329,14.390785,14.3430075,15.55731
Clo1313_0422,ATP phosphoribosyltransferase catalytic subunit (EC 2.4.2.17)  ,14.20102,14.10444,14.277365,14.36555,15.093465,15.09321,13.21362,15.93001
Clo1313_0423,histidinol dehydrogenase  ,15.41899,15.546445,14.75692,14.747415,17.062315,16.49592,15.86485,17.0522
Clo1313_0424,histidinol phosphate aminotransferase apoenzyme (EC 2.6.1.9)  ,8.8,15.0468,8.8,16.43644,13.90327,8.8,15.88284,16.70198
Clo1313_0425,imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)  ,18.548875,18.38305,17.027135,18.93833,17.110385,17.39352,17.91312,18.595945
Clo1313_0426,phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)  ,19.0356375,19.48864,19.008155,19.87051,20.011815,19.551445,20.1929625,20.18575
Clo1313_0428,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16)  ,17.5773825,17.64276,17.4515525,17.437905,17.36051,17.5636025,17.62759,18.079495
Clo1313_0429,"imidazoleglycerol phosphate synthase, cyclase subunit  ",17.86897,18.38562875,18.59917,18.410595,19.02894,18.79027,19.4646525,19.38307
Clo1313_0430,phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)/phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)  ,14.64926,16.786965,17.575745,16.408085,16.30328,15.574425,15.4266005,16.98237
Clo1313_0432,Chaperonin Cpn10  ,20.961355,20.7248225,20.8360175,20.907705,21.3835,21.23867,21.76583,21.24858
Clo1313_0433,chaperonin GroEL  ,21.601855,21.93755,22.14506125,22.3855,21.9713840625,21.79273,22.7015890625,22.21828
Clo1313_0436,glycoside hydrolase family 18  ,16.695175,17.7851,16.881505,16.87291,16.43282,16.3604,16.161525,16.59898
Clo1313_0438,transcription elongation factor GreA  ,19.94289,19.77751,19.37915,20.07008,19.54171,18.908385,20.2992825,20.22517
Clo1313_0439,anti-sigma-factor antagonist  ,15.762655,16.73655,15.56208,17.06646,16.844145,16.60792,16.8319,16.6949
Clo1313_0440,"putative anti-sigma regulatory factor, serine/threonine protein kinase  ",18.1623025,17.454345,17.060615,17.63947,17.394895,18.484435,16.81275,18.30662
Clo1313_0442,ATP-binding region ATPase domain protein  ,15.4000925,16.1534425,8.8,16.0619175,8.8,8.8,12.9404375,8.8
Clo1313_0444,SSU ribosomal protein S10P  ,21.83131,21.8130975,21.59243,21.863555,21.91654,22.83999,22.1294425,22.797605
Clo1313_0445,LSU ribosomal protein L3P  ,21.890105,21.87031,22.0336225,22.084835,21.149295,21.4863875,21.87979,21.744035
Clo1313_0446,LSU ribosomal protein L4P  ,22.11343,22.230445,22.3407025,22.328635,21.413065,21.8265025,21.832575,21.9480075
Clo1313_0447,LSU ribosomal protein L23P  ,20.414975,20.7847975,20.511445,20.50599,20.919315,21.16679125,20.573045,21.11522
Clo1313_0448,LSU ribosomal protein L2P  ,21.74663,21.997285,22.11951,21.951655,21.183992265625,21.651365,21.7102675,21.97217
Clo1313_0449,ribosomal protein S19  ,16.609525,8.8,20.64095,20.33644,17.44396,20.359555,20.542255,20.06681
Clo1313_0450,LSU ribosomal protein L22P  ,21.20577,20.80279,21.340405,21.39643,21.015358125,21.6391775,21.24311,21.661805
Clo1313_0451,ribosomal protein S3  ,20.75599,21.073315,20.83354,21.13153,21.18472,21.40551875,21.00498,21.59615
Clo1313_0452,ribosomal protein L16  ,21.17335,21.18140125,21.73138,22.01942,20.9225125,21.48738,22.0052,21.75534
Clo1313_0453,LSU ribosomal protein L29P  ,18.10718,17.042762,18.9753675,17.775407,17.347335,19.682735,18.377975,18.89945
Clo1313_0454,SSU ribosomal protein S17P  ,19.81533,21.225485,21.40685,22.327,18.3197125,21.36777,20.950925,21.57947
Clo1313_0455,LSU ribosomal protein L14P  ,20.7578275,21.0808025,21.15682,20.8976725,20.420095,20.863685,20.88749,20.96469
Clo1313_0456,ribosomal protein L24  ,20.5425,21.04999,20.46816,20.698465,20.715185,20.18254,20.77113,20.40897375
Clo1313_0457,LSU ribosomal protein L5P  ,21.933856875,22.2799425,22.16116625,22.48023,21.8304325,22.16147,22.4127425,22.20259
Clo1313_0459,ribosomal protein S8  ,21.14298125,20.76918,20.88169,21.507755,20.23558,21.17067,21.074065,21.273715
Clo1313_0460,LSU ribosomal protein L6P  ,21.435565,21.434585,21.4661425,21.027075,21.2992,21.429475,21.1093025,21.8721
Clo1313_0461,LSU ribosomal protein L18P  ,21.5319425,21.97676,22.6472,22.660355,21.258045,22.4361275,22.29901,22.4064725
Clo1313_0462,SSU ribosomal protein S5P  ,21.326235,21.217335,20.7565275,21.36768875,21.57726,21.7211225,21.327695,22.106185
Clo1313_0463,LSU ribosomal protein L30P  ,8.8,8.8,16.65035,15.16883,8.8,14.214478,17.592475,17.05481
Clo1313_0464,LSU ribosomal protein L15P  ,20.49836,20.3601,20.23461,20.6755725,20.0504,20.925595,20.48541,20.61401375
Clo1313_0465,protein translocase subunit secY/sec61 alpha  ,18.86087,19.49641,19.67274,19.5792,17.71829,18.750505,18.59734,18.94603
Clo1313_0466,Adenylate kinase (EC 2.7.4.3)  ,20.19697,20.76809,20.11327,20.49382,20.41974,20.452445,20.17766,20.93923
Clo1313_0467,"methionine aminopeptidase, type I (EC 3.4.11.18)  ",8.8,8.8,13.7423975,15.63988,8.8,14.8478325,8.8,15.011845
Clo1313_0469,translation initiation factor IF-1  ,8.8,15.75361,16.543135,16.8578,8.8,16.411855,17.53255,16.8086025
Clo1313_0471,SSU ribosomal protein S13P  ,21.093035,20.92531,21.5991225,21.397995,20.34623,21.32197625,21.07014,21.87369
Clo1313_0472,SSU ribosomal protein S11P  ,20.790835,21.230635,21.25981,21.061005,20.3350575,20.68295,20.8115125,20.908975
Clo1313_0473,SSU ribosomal protein S4P  ,22.06166,22.27106,22.1499875,22.1892225,22.00953,22.29132,22.0041,22.47423
Clo1313_0474,DNA-directed RNA polymerase subunit alpha (EC 2.7.7.6)  ,20.768325,20.71427,20.8259133984375,21.14972,19.757776875,20.405089375,20.344315,20.515635
Clo1313_0475,LSU ribosomal protein L17P  ,20.980795,21.213295,21.2824725,21.2466425,21.14684,21.63796,21.005275,21.7905
Clo1313_0479,protein of unknown function DUF55  ,13.39736,8.8,13.49113,12.378,8.8,8.8,16.03077,8.8
Clo1313_0482,regulatory protein DeoR  ,15.23839,15.54881,15.912675,15.912025,14.0581325,14.6243075,15.71931,14.43561
Clo1313_0489,"glucokinase, ROK family  ",19.65495,20.02822,19.7143125,19.94379,19.79854,19.93740375,20.14768,19.52846
Clo1313_0498,prolyl-tRNA synthetase (EC 6.1.1.15)  ,17.239005,17.1552925,17.422665,17.989315,17.63417,18.27424,18.243585,18.31729125
Clo1313_0500,Pectinesterase  ,8.8,8.8,17.62109,18.93148,8.8,8.8,18.45811,19.07264
Clo1313_0510,extracellular solute-binding protein family 5  ,18.2471175,18.4734,19.06393,18.85307,17.7423,15.0081225,19.02776,14.80054
Clo1313_0511,"oligopeptide/dipeptide ABC transporter, ATPase subunit  ",18.27667,18.28302,18.8078856640625,19.096055,18.2722,18.0712225,19.491295,17.2880425
Clo1313_0512,"oligopeptide/dipeptide ABC transporter, ATPase subunit  ",18.77556,18.96494,19.13265,18.46135,18.85255,18.18023,19.290625,17.324115
Clo1313_0514,binding-protein-dependent transport systems inner membrane component  ,8.8,14.74335,8.8,16.00589,14.55726,13.96787,15.55617,8.8
Clo1313_0519,ABC transporter related protein  ,16.08123,17.24288,16.73542,16.47117,15.64002,17.11366,16.23721,17.161635
Clo1313_0539,glycosyltransferase 36  ,21.20396,21.18972,20.705619140625,20.901995,20.82618,20.52072,20.81964,20.906306875
Clo1313_0549,ABC transporter related protein  ,18.351815,19.098065,19.12636,18.822305,18.679075,17.301321875,19.0750375,17.6589575
Clo1313_0552,putative phosphate transport regulator  ,18.30729,18.12901,18.32388,18.424945,17.879495,18.396335,18.043845,18.49099
Clo1313_0554,"hydrogenase, Fe-only  ",15.60093525,16.46409,17.24044,17.9567605,15.11421,15.115214,14.452361,16.4175725
Clo1313_0571,ech hydrogenase subunit E  ,8.8,8.8,14.31445,15.44779,8.8,8.8,8.8,8.8
Clo1313_0578,Citrate synthase  ,21.07582,20.988338125,21.006415,21.17298,21.493075,21.34836,21.599385,21.3058275
Clo1313_0581,methyl-accepting chemotaxis sensory transducer with Cache sensor  ,12.09806,12.31271,8.8,8.8,10.14437,11.86555,8.8,11.22265
Clo1313_0586,D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein  ,20.03271,20.23316,20.74153,20.88391,20.364065,20.1716775,20.82621078125,20.54407
Clo1313_0587,methyl-accepting chemotaxis sensory transducer  ,17.24199,16.9437,17.80025,18.215435,17.604335,8.8,19.216845,8.8
Clo1313_0588,nitroreductase  ,13.29636,14.73041,8.8,8.8,15.23103,8.8,13.19988,15.12976
Clo1313_0600,Tetratricopeptide TPR_1 repeat-containing protein  ,8.8,15.79704,16.28092,15.3160375,8.8,8.8,17.2696975,8.8
Clo1313_0613,Cephalosporin-C deacetylase  ,8.8,8.8,8.8,8.8,13.3505,8.8,14.67353,13.848415
Clo1313_0615,hypothetical protein  ,14.193105,12.91382,14.698395,13.67406,8.8,16.547265,13.3135725,16.72991
Clo1313_0616,ABC transporter related protein  ,16.916495,17.41243,17.679685,17.01674,15.976195,17.5859675,16.66687,16.63061
Clo1313_0627,cellulosome anchoring protein cohesin region  ,20.16695125,21.02161,20.84922,21.360815,19.6157425,20.8844025,19.664975,20.605885
Clo1313_0628,cellulosome anchoring protein cohesin region  ,18.1295,19.18113,19.142195,19.4532525,17.47828,19.4365675,18.36744,19.19619
Clo1313_0629,cellulosome anchoring protein cohesin region  ,14.24811,15.6176915,16.08759,16.26005,14.53286,13.5526,14.50399,14.88691
Clo1313_0630,cellulosome anchoring protein cohesin region  ,17.3332,18.54272,18.904499375,19.39593,16.30781,17.99937,17.5106,17.9166375
Clo1313_0636,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)  ,18.206155,18.276145,18.1348275,18.26284,19.0691175,18.53184,18.91931,18.43444
Clo1313_0637,sporulation transcriptional activator Spo0A  ,8.8,15.302425,14.58395,14.0959125,14.84712,14.21582,8.8,14.14106
Clo1313_0638,histone family protein DNA-binding protein  ,19.14363,19.1173125,20.02226,19.1274525,17.711565,20.2298,19.98326,19.5318575
