old_ids,new_ids,detected_count,product,generic_or_non_metabolic,in_isg2
Clo1313_2045,CLO1313_RS10360,4,ribonuclease PH,y,
Clo1313_0101,CLO1313_RS00540,4,ketol-acid reductoisomerase,,"['KARI_23dhmb', 'KARI_3hmoa', 'KARI', 'KARA1', 'KARI_23dhmp']"
Clo1313_1511,CLO1313_RS07630,4,1-acyl-sn-glycerol-3-phosphate acyltransferase,,
Clo1313_2149,CLO1313_RS10895,4,endopeptidase La,,
Clo1313_2051,CLO1313_RS10390,4,Holliday junction branch migration DNA helicase RuvB,,
Clo1313_1201,CLO1313_RS06110,4,endonuclease MutS2,y,
Clo1313_0467,CLO1313_RS02370,4,type I methionyl aminopeptidase,,
Clo1313_0613,CLO1313_RS03130,4,cephalosporin deacetylase,,['CPHL']
Clo1313_1178,CLO1313_RS06000,4,DNA ligase (NAD(+)) LigA,,
Clo1313_0417,CLO1313_RS02105,4,DNA helicase PcrA,,
Clo1313_1589,CLO1313_RS08020,4,type VII secretion protein EssC,,
Clo1313_0469,CLO1313_RS02380,4,translation initiation factor IF-1,y,
Clo1313_0837,CLO1313_RS04305,4,tryptophan synthase subunit alpha,,"['TRPS2', 'SERH', 'TRPS3']"
Clo1313_1861,CLO1313_RS09405,4,membrane protein,,
Clo1313_2882,CLO1313_RS14645,4,3-isopropylmalate dehydrogenase,,"['OMCDC', 'MMOR', 'IPMD']"
Clo1313_0001,CLO1313_RS00010,4,chromosomal replication initiator protein DnaA,,
Clo1313_1282,CLO1313_RS06510,4,[acyl-carrier-protein] S-malonyltransferase,,['MCOATA']
Clo1313_0293,CLO1313_RS01515,4,polysaccharide pyruvyl transferase CsaB,,
Clo1313_0387,CLO1313_RS01960,4,RidA family protein,,
Clo1313_1781,CLO1313_RS09005,4,glutamine amidotransferase,,
Clo1313_1457,CLO1313_RS07370,4,50S ribosomal protein L19,,
Clo1313_0920,CLO1313_RS04710,4,FHA domain-containing protein,,
Clo1313_0449,CLO1313_RS02280,4,30S ribosomal protein S19,,
Clo1313_1559,CLO1313_RS07865,4,FtsH protease activity modulator HflK,,
Clo1313_1495,CLO1313_RS07555,4,tyrosine recombinase XerC,,
Clo1313_2727,CLO1313_RS13855,4,hypothetical protein,y,
Clo1313_0646,CLO1313_RS03330,4,phospholipid carrier-dependent glycosyltransferase,,
Clo1313_1776,CLO1313_RS08980,4,cell division protein FtsA,y,
Clo1313_1694,CLO1313_RS08560,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_0587,CLO1313_RS02990,4,methyl-accepting chemotaxis protein,y,
Clo1313_1701,CLO1313_RS08595,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_1657,CLO1313_RS08370,4,pyridoxal phosphate-dependent aminotransferase,,"['ASPTA', 'ALATA_L', 'TYRTA', 'AATC', 'EHGLAT', 'GLUDy', 'GLUS', 'CYSTA', '3SALATA', 'PHETA1']"
Clo1313_1499,CLO1313_RS07575,4,histidinol phosphate phosphatase,,['HISTP']
Clo1313_0829,CLO1313_RS04265,4,signal peptide peptidase SppA,y,
Clo1313_0539,CLO1313_RS02765,4,glycosyl transferase,,
Clo1313_1846,CLO1313_RS09330,4,GMP synthase (glutamine-hydrolyzing),,"['GMPS', 'GMPS2', '6TXAN5MPAML']"
Clo1313_1115,CLO1313_RS05665,4,hypothetical protein,y,
Clo1313_0202,CLO1313_RS01040,4,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,,['UAGCVT']
Clo1313_2550,CLO1313_RS12950,4,peptidase M23,,
Clo1313_2434,CLO1313_RS12325,4,hypothetical protein,y,
Clo1313_0950,CLO1313_RS04855,4,cellulosome anchoring protein cohesin region,,
Clo1313_2800,CLO1313_RS14220,4,recombination protein RecR,,
Clo1313_0316,CLO1313_RS01630,4,30S ribosomal protein S12,,
Clo1313_0066,CLO1313_RS00350,4,ferredoxin,,['RNF']
Clo1313_1656,CLO1313_RS08365,4,DUF814 domain-containing protein,,
Clo1313_0329,CLO1313_RS01695,4,ATP-dependent Clp protease proteolytic subunit,,
Clo1313_0941,CLO1313_RS04815,4,guanylate kinase,,"['GK1', 'DGK1']"
Clo1313_1211,CLO1313_RS06160,4,UMP kinase,,['UMPK']
Clo1313_0077,CLO1313_RS00400,4,sugar ABC transporter substrate-binding protein,,"['CEL6abc', 'CEL2abc', 'CEL3abc', 'CEL4abc', 'CEL5abc']"
Clo1313_2852,CLO1313_RS14485,4,sensor domain-containing diguanylate cyclase,,['GGT']
Clo1313_0836,CLO1313_RS04300,4,tryptophan synthase subunit beta,,"['TRPS2', 'SERH', 'TRPS3']"
Clo1313_0450,CLO1313_RS02285,4,50S ribosomal protein L22,,
Clo1313_3029,CLO1313_RS15410,4,protein jag,,
Clo1313_2439,CLO1313_RS12350,4,glutamate 5-kinase,,['GLU5K']
Clo1313_0815,CLO1313_RS04200,4,short-chain dehydrogenase,,['2D3DGLNR']
Clo1313_1317,CLO1313_RS06680,4,pantoate--beta-alanine ligase,,['PANTS']
Clo1313_1931,CLO1313_RS09770,4,phosphoserine transaminase,,"['PSAT', 'OHPBAT']"
Clo1313_1288,CLO1313_RS06540,4,stage V sporulation protein S,,
Clo1313_0016,CLO1313_RS00095,4,vanomycin resistance protein VanB,,
Clo1313_1922,CLO1313_RS09725,4,DNA topoisomerase,,
Clo1313_0473,CLO1313_RS02400,4,30S ribosomal protein S4,,
Clo1313_2748,CLO1313_RS13965,4,hypothetical protein,y,
Clo1313_1414,CLO1313_RS07155,4,chemotaxis response regulator protein-glutamate methylesterase,y,
Clo1313_0395,CLO1313_RS02000,4,endoglucanase,,
Clo1313_2743,CLO1313_RS13935,4,aminotransferase,,
Clo1313_1799,CLO1313_RS09100,4,redox-sensing transcriptional repressor Rex,,
Clo1313_2815,CLO1313_RS14300,4,carbohydrate-binding domain-containing protein,,
Clo1313_1698,CLO1313_RS08580,4,ABC transporter ATP-binding protein,,
Clo1313_0944,CLO1313_RS04830,4,glycine--tRNA ligase,,['GLYTRS']
Clo1313_2088,CLO1313_RS10575,4,HDIG domain-containing protein,,
Clo1313_0038,CLO1313_RS00200,4,ATP-binding protein,,
Clo1313_3020,CLO1313_RS15345,4,hypothetical protein,y,
Clo1313_0013,CLO1313_RS00080,4,copper amine oxidase,,
Clo1313_0972,CLO1313_RS04965,4,peptidase S1,,
Clo1313_1760,CLO1313_RS08900,4,type I DNA topoisomerase,,
Clo1313_0308,CLO1313_RS01590,4,transcription termination/antitermination protein NusG,,
Clo1313_0315,CLO1313_RS01625,4,50S ribosomal protein L7ae-like protein,,
Clo1313_0064,CLO1313_RS00340,4,electron transport complex subunit RsxE,,['RNF']
Clo1313_1001,CLO1313_RS05110,4,carbohydrate-binding protein,,
Clo1313_1938,CLO1313_RS09815,4,homoserine dehydrogenase,,"['HSDH', 'HSDxi']"
Clo1313_0310,CLO1313_RS01600,4,50S ribosomal protein L1,,
Clo1313_1916,CLO1313_RS09695,4,excinuclease ABC subunit UvrA,y,['FE3abc']
Clo1313_0184,CLO1313_RS00950,4,ribose 5-phosphate isomerase B,,['RPI']
Clo1313_3028,CLO1313_RS15405,4,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,,
Clo1313_1969,CLO1313_RS09960,4,peptidase S1,,
Clo1313_2936,CLO1313_RS14920,4,V-type ATP synthase subunit K,,['ATPS']
Clo1313_2989,CLO1313_RS15190,4,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,,['UAGCVT']
Clo1313_0430,CLO1313_RS02170,4,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,,"['PRAMPC', 'PRATPP']"
Clo1313_1122,CLO1313_RS05700,4,ribonuclease Y,y,
Clo1313_1106,CLO1313_RS05620,4,type II secretion system protein E,,
Clo1313_1902,CLO1313_RS09625,4,valine--tRNA ligase,,['VALTRS']
Clo1313_0317,CLO1313_RS01635,4,30S ribosomal protein S7,,
Clo1313_0872,CLO1313_RS04475,4,homoserine dehydrogenase,,"['HSDH', 'HSDxi']"
Clo1313_2740,CLO1313_RS13915,4,GTPase HflX,,
Clo1313_1349,CLO1313_RS06840,4,flavodoxin family protein,,
Clo1313_1388,CLO1313_RS07030,4,exodeoxyribonuclease VII large subunit,y,
Clo1313_2462,CLO1313_RS12470,4,ATP-dependent Clp protease ATP-binding subunit,,
Clo1313_0581,CLO1313_RS02960,4,chemotaxis protein,y,
Clo1313_0627,CLO1313_RS03210,4,cellulosome anchoring protein cohesin subunit,,['CELLULOSOME_TERM']
Clo1313_1353,CLO1313_RS06855,4,4Fe-4S dicluster domain-containing protein,,['OOR3']
Clo1313_1875,CLO1313_RS09480,4,"fructose-1,6-bisphosphate aldolase, class II",,"['FBA', 'FBA3', 'TGBPA']"
Clo1313_2929,CLO1313_RS14885,4,replicative DNA helicase,,
Clo1313_2054,CLO1313_RS10405,4,argininosuccinate synthase,,['ARGSS']
Clo1313_0166,CLO1313_RS00860,4,alcohol dehydrogenase,,['13PPDH']
Clo1313_2726,CLO1313_RS13850,4,DNA-3-methyladenine glycosylase 2,,
Clo1313_2959,CLO1313_RS15035,4,chemotaxis protein CheW,y,
Clo1313_0448,CLO1313_RS02275,4,50S ribosomal protein L2,,
Clo1313_0413,CLO1313_RS02085,4,endoglucanase,,['CELLULOSOME_TERM']
Clo1313_1373,CLO1313_RS06955,4,elongation factor P,y,
Clo1313_1405,CLO1313_RS07110,4,NAD(+) kinase,,['NADK']
Clo1313_1790,CLO1313_RS09055,4,hypothetical protein,y,
Clo1313_2847,CLO1313_RS14460,4,UTP--glucose-1-phosphate uridylyltransferase,,['GALU']
Clo1313_1918,CLO1313_RS09705,4,excinuclease ABC subunit UvrB,y,
Clo1313_1052,CLO1313_RS05355,4,serine protein kinase,,
Clo1313_2086,CLO1313_RS10565,4,ribonuclease R,y,
Clo1313_0438,CLO1313_RS02210,4,transcription elongation factor GreA,y,
Clo1313_1340,CLO1313_RS06795,4,3-deoxy-7-phosphoheptulonate synthase,,['DPHS']
Clo1313_1194,CLO1313_RS06075,4,ABC transporter substrate-binding protein,,"['CEL6abc', 'CEL4abc', 'CEL5abc', 'CEL3abc']"
Clo1313_1882,CLO1313_RS09515,4,NADH-quinone oxidoreductase subunit NuoF,,['NADH2r']
Clo1313_2090,CLO1313_RS10585,4,enolase,,['ENO']
Clo1313_1794,CLO1313_RS09075,4,serine/threonine phosphatase,,
Clo1313_2881,CLO1313_RS14640,4,LexA family transcriptional regulator,y,
Clo1313_1770,CLO1313_RS08950,4,transcriptional regulator NrdR,y,
Clo1313_1241,CLO1313_RS06295,4,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,,"['UGMDDS', 'UGLDDS2']"
Clo1313_0903,CLO1313_RS04625,4,single-stranded DNA-binding protein,,
Clo1313_2163,CLO1313_RS10960,4,aspartate--ammonia ligase,,"['ASNS1', 'ASNS2']"
Clo1313_2807,CLO1313_RS14260,4,amine oxidase,,
Clo1313_2930,CLO1313_RS14890,4,50S ribosomal protein L9,,
Clo1313_2456,CLO1313_RS12440,4,50S ribosomal protein L13,,
Clo1313_1993,CLO1313_RS10085,4,NrdH-redoxin,,
Clo1313_1411,CLO1313_RS07140,4,chemotaxis protein CheA,y,
Clo1313_0647,CLO1313_RS03335,4,hypothetical protein,y,
Clo1313_1530,CLO1313_RS07720,4,polyamine aminopropyltransferase,,"['SPMS', 'SPRMS', 'APCS']"
Clo1313_0966,CLO1313_RS04935,4,cofactor-independent phosphoglycerate mutase,y,"['HSK', 'PGM']"
Clo1313_1390,CLO1313_RS07040,4,polyprenyl synthetase family protein,,"['DMATT', 'FRTT', 'GRTT']"
Clo1313_1483,CLO1313_RS07500,4,hypothetical protein,y,
Clo1313_1734,CLO1313_RS08770,4,flagellar biosynthesis protein FlhF,,
Clo1313_0455,CLO1313_RS02310,4,50S ribosomal protein L14,,
Clo1313_1885,CLO1313_RS09530,4,NADH-quinone oxidoreductase subunit NuoE,,['NADH2r']
Clo1313_0880,CLO1313_RS04510,4,hypothetical protein,y,
Clo1313_1683,CLO1313_RS08500,4,phosphoribosylformylglycinamidine synthase,,['PRFGS']
Clo1313_0857,CLO1313_RS04395,4,2-isopropylmalate synthase,,"['CITMS', 'IPPS']"
Clo1313_0283,CLO1313_RS01465,4,glycosyltransferase family 1 protein,,
Clo1313_1305,CLO1313_RS06630,4,glycoside hydrolase,,
Clo1313_1604,CLO1313_RS08095,4,glycoside hydrolase,,['CELLULOSOME_TERM']
Clo1313_0423,CLO1313_RS02135,4,histidinol dehydrogenase,,"['LHOR', 'HISOR']"
Clo1313_2459,CLO1313_RS12455,4,DNA repair protein RadA,,
Clo1313_3017,CLO1313_RS15330,4,nicotinate-nucleotide diphosphorylase (carboxylating),,['NNDPR']
Clo1313_0512,CLO1313_RS02620,4,ABC transporter ATP-binding protein,,['CA2abc']
Clo1313_1820,CLO1313_RS09205,4,methyl-accepting chemotaxis protein,y,
Clo1313_1259,CLO1313_RS06395,4,preprotein translocase subunit YajC,,
Clo1313_2231,,4,,,
Clo1313_1849,CLO1313_RS09345,4,"glutamate synthase (NADPH), homotetrameric",,"['FRNDPR2r', 'GLUSy', 'GLUDy', 'GLUS']"
Clo1313_0677,CLO1313_RS03505,4,AMP-dependent synthetase,,"['IPOHCOAL', 'IPOCOAL', 'ADPCOAL', 'CMIPDCOAL', 'TMIPDCOAL', 'HPS', 'PAACOAL', 'CPCOAL', 'PECGONCOAT']"
Clo1313_0008,CLO1313_RS00045,4,chromosome partitioning protein ParB,,
Clo1313_1963,CLO1313_RS09930,4,chemotaxis protein,y,
Clo1313_2455,CLO1313_RS12435,4,30S ribosomal protein S9,,
Clo1313_1808,CLO1313_RS09145,4,"cellulose 1,4-beta-cellobiosidase",,['CELLULOSOME_TERM']
Clo1313_0075,CLO1313_RS00390,4,transketolase,,"['TKT2', 'TKT1']"
Clo1313_1237,CLO1313_RS06275,4,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,,
Clo1313_1637,CLO1313_RS08250,4,copper amine oxidase,,
Clo1313_2331,CLO1313_RS11830,4,oxidoreductase/nitrogenase component 1,,"['NO2OR', 'ACTYOR']"
Clo1313_1142,CLO1313_RS05800,4,PhoH family protein,,
Clo1313_2047,CLO1313_RS10370,4,UDP-glucose 4-epimerase GalE,,['UAG4Ei']
Clo1313_2942,CLO1313_RS14950,4,V-type ATP synthase subunit D,,['ATPS']
Clo1313_1196,CLO1313_RS06085,4,carbohydrate ABC transporter permease,,
Clo1313_0002,CLO1313_RS00015,4,DNA polymerase III subunit beta,,
Clo1313_3011,CLO1313_RS15300,4,hypothetical protein,y,
Clo1313_0939,CLO1313_RS04805,4,hypothetical protein,y,
Clo1313_0997,CLO1313_RS05090,4,6-phosphofructokinase,,"['PFK', 'PFK_5', 'F6PPT', 'PFK_2', 'PFK_6', 'PFK_4']"
Clo1313_2120,CLO1313_RS10740,4,phosphatase,,
Clo1313_0578,CLO1313_RS02945,4,citrate/2-methylcitrate synthase,,"['CS', 'MCITS']"
Clo1313_0451,CLO1313_RS02290,4,30S ribosomal protein S3,,
Clo1313_2744,CLO1313_RS13940,4,peptidase U32,,
Clo1313_1074,CLO1313_RS05465,4,hypothetical protein,y,
Clo1313_0943,CLO1313_RS04825,4,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,,"['PPNCL2', 'PPNCL3', 'PPCDC']"
Clo1313_1716,CLO1313_RS08680,4,pyruvate formate lyase-activating protein,,
Clo1313_1362,CLO1313_RS06900,4,UPF0365 family protein,,
Clo1313_0053,CLO1313_RS00285,4,DUF5050 domain-containing protein,,
Clo1313_1793,CLO1313_RS09070,4,NAD(P)H-dependent oxidoreductase subunit E,,"['NADH2r', 'BIF']"
Clo1313_2937,CLO1313_RS14925,4,hypothetical protein,y,['ATPS']
Clo1313_1397,CLO1313_RS07075,4,copper amine oxidase,,
Clo1313_1163,CLO1313_RS05905,4,recombinase RecA,,
Clo1313_2470,CLO1313_RS12515,4,3-phosphoshikimate 1-carboxyvinyltransferase,,['PSCVT']
Clo1313_0628,CLO1313_RS15440,4,cellulosome anchoring protein cohesin subunit,,['CELLULOSOME_TERM']
Clo1313_1571,CLO1313_RS07925,4,[FeFe] hydrogenase H-cluster radical SAM maturase HydG,,
Clo1313_2020,CLO1313_RS10225,4,beta-glucosidase,,"['CGGH', 'CLBH', 'BDG2HCGHD']"
Clo1313_0671,CLO1313_RS03475,4,hemerythrin,,
Clo1313_1687,CLO1313_RS08525,4,molecular chaperone HtpG,,
Clo1313_1827,CLO1313_RS09240,4,alcohol dehydrogenase,,['13PPDH']
Clo1313_2558,CLO1313_RS12990,4,aspartate aminotransferase family protein,,"['SDPTA', 'ACOTA']"
Clo1313_2228,CLO1313_RS11320,4,peroxiredoxin,,
Clo1313_2140,CLO1313_RS10850,4,penicillin-binding protein 2,,
Clo1313_2635,CLO1313_RS13380,4,"endo-1,4-beta-xylanase Z",,['CELLULOSOME_TERM']
Clo1313_1537,CLO1313_RS07755,4,tryptophan--tRNA ligase,,['TRPTRS']
Clo1313_1271,CLO1313_RS06455,4,histidine phosphatase family protein,,"['PGM', 'RZ5PP']"
Clo1313_0897,CLO1313_RS04595,4,glycosyl transferase,,
Clo1313_2474,CLO1313_RS12535,4,ABC transporter ATP-binding protein,,
Clo1313_1174,CLO1313_RS05980,4,30S ribosomal protein S20,,
Clo1313_2525,CLO1313_RS12790,4,copper amine oxidase,,
Clo1313_2161,CLO1313_RS10950,4,"cellulose 1,4-beta-cellobiosidase",,
Clo1313_1347,CLO1313_RS06830,4,indole-3-glycerol-phosphate synthase,,['IGPS']
Clo1313_2074,CLO1313_RS10505,4,50S ribosomal protein L21,,
Clo1313_0701,CLO1313_RS03630,4,cobalamin biosynthesis protein CobD,,"['ADCPS1', 'ADCPS2']"
Clo1313_1344,CLO1313_RS06815,4,anthranilate synthase component I,,['ADCS']
Clo1313_1098,CLO1313_RS05575,4,phosphoglucosamine mutase,,['PGAMT']
Clo1313_2265,CLO1313_RS11510,4,bacteriocin,,
Clo1313_0745,CLO1313_RS03855,4,DUF1015 domain-containing protein,,
Clo1313_1621,CLO1313_RS08175,4,M42 family peptidase,,
Clo1313_1526,CLO1313_RS07700,4,methylmalonyl-CoA carboxyltransferase,,"['ACCOAC', 'PPCOAC']"
Clo1313_0974,CLO1313_RS04975,4,glycogen synthase GlgA,,['GLCS1']
Clo1313_2904,CLO1313_RS14760,4,type 11 methyltransferase,,
Clo1313_2162,CLO1313_RS10955,4,asparagine--tRNA ligase,,['ASNTRS']
Clo1313_0022,CLO1313_RS00125,4,2-ketoisovalerate ferredoxin oxidoreductase subunit alpha,,"['OBFOR', 'POR', 'NITROTOLDEG']"
Clo1313_1664,CLO1313_RS08405,4,serine/threonine-protein phosphatase,,
Clo1313_2888,CLO1313_RS14675,4,magnesium transporter,,['MG2abc']
Clo1313_2336,CLO1313_RS11855,4,ABC transporter substrate-binding protein,,['SULabc']
Clo1313_1029,CLO1313_RS05240,4,threonine--tRNA ligase,,['THRTRS']
Clo1313_1295,CLO1313_RS06575,4,diaminopimelate dehydrogenase,,['DHDOR']
Clo1313_0180,CLO1313_RS00930,4,peptide chain release factor 1,y,
Clo1313_2136,CLO1313_RS10830,4,methylglyoxal synthase,,['MGSA']
Clo1313_1290,CLO1313_RS06550,4,chromosome segregation protein SMC,,
Clo1313_0297,CLO1313_RS01535,4,ABC transporter,,['ILEt2r']
Clo1313_2006,CLO1313_RS10155,4,hypothetical protein,y,
Clo1313_1040,CLO1313_RS05300,4,ATP-dependent Clp protease ATP-binding subunit ClpA,,
Clo1313_2190,CLO1313_RS11095,4,[FeFe] hydrogenase H-cluster maturation GTPase HydF,,
Clo1313_1212,CLO1313_RS06165,4,ribosome-recycling factor,y,
Clo1313_2633,CLO1313_RS13370,4,nucleotidyltransferase,,"['PMANM', 'MAN1PT']"
Clo1313_0005,CLO1313_RS00030,4,DUF370 domain-containing protein,,
Clo1313_2321,CLO1313_RS11780,4,metal ABC transporter substrate-binding protein,,['METt2r']
Clo1313_3010,CLO1313_RS15295,4,LPS biosynthesis protein,,
Clo1313_0636,CLO1313_RS03255,4,3-phosphoshikimate 1-carboxyvinyltransferase,,['PSCVT']
Clo1313_1901,CLO1313_RS09620,4,NAD(+) synthase,,['NADS2']
Clo1313_2326,CLO1313_RS11805,4,cysteine synthase family protein,,"['ACSERL', 'CYSS', 'AHSERL4']"
Clo1313_2952,CLO1313_RS15000,4,amino acid ABC transporter substrate-binding protein,,
Clo1313_0217,CLO1313_RS01110,4,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,,"['UAGP2UAG', 'G1PACT']"
Clo1313_1208,CLO1313_RS06145,4,translational GTPase TypA,y,
Clo1313_1972,CLO1313_RS09975,4,type IV pili twitching motility protein PilT,,
Clo1313_0444,CLO1313_RS02255,4,30S ribosomal protein S10,,
Clo1313_2938,CLO1313_RS14930,4,V-type ATP synthase subunit C,,['ATPS']
Clo1313_1110,CLO1313_RS05640,4,prepilin-type cleavage/methylation domain-containing protein,,
Clo1313_0446,CLO1313_RS02265,4,50S ribosomal protein L4,,
Clo1313_0215,CLO1313_RS01100,4,pur operon repressor,,
Clo1313_1475,CLO1313_RS07460,4,spermidine/putrescine ABC transporter substrate-binding protein,,
Clo1313_2518,CLO1313_RS12755,4,hypothetical protein,y,
Clo1313_1518,CLO1313_RS07665,4,MurR/RpiR family transcriptional regulator,y,
Clo1313_2601,CLO1313_RS13210,4,peptidase S41,,
Clo1313_1315,CLO1313_RS06670,4,protein translocase subunit SecF,,
Clo1313_0319,CLO1313_RS01645,4,elongation factor Tu,y,
Clo1313_1510,CLO1313_RS15600,4,bifunctional 4-hydroxy-3-methylbut-2-enyl diphosphate reductase/30S ribosomal protein S1,,"['IPDPS', 'IDS2', 'DMPPS', 'IPDOR']"
Clo1313_1439,CLO1313_RS07280,4,hypothetical protein,y,
Clo1313_0923,CLO1313_RS04725,4,aspartate--tRNA ligase,,['ASPTRS']
Clo1313_0456,CLO1313_RS02315,4,50S ribosomal protein L24,,
Clo1313_1452,CLO1313_RS07345,4,signal recognition particle protein,y,
Clo1313_1729,CLO1313_RS08745,4,chemotaxis protein CheW,y,
Clo1313_0471,CLO1313_RS02390,4,30S ribosomal protein S13,,
Clo1313_0006,CLO1313_RS00035,4,DNA topoisomerase (ATP-hydrolyzing) subunit B,,
Clo1313_2467,CLO1313_RS12500,4,elongation factor G,y,
Clo1313_2179,CLO1313_RS11040,4,ribonucleotide-diphosphate reductase subunit alpha,,"['RNDR3', 'RNDR4n', 'RNDR1n', 'RNDR2']"
Clo1313_1021,CLO1313_RS05205,4,"cellulose 1,4-beta-cellobiosidase",,
Clo1313_1283,CLO1313_RS06515,4,3-oxoacyl-[acyl-carrier-protein] reductase,,"['3OAR100', '3OAR60', '3OAR120', 'RE0581R', '3OAR140', '3OAR40', 'HBCO', '3OAR18B', '3OAR160', '3OAR80']"
Clo1313_2897,CLO1313_RS14725,4,methionyl-tRNA formyltransferase,,
Clo1313_1677,CLO1313_RS08470,4,pyridine nucleotide-disulfide oxidoreductase,,
Clo1313_2159,CLO1313_RS10940,4,hypothetical protein,y,
Clo1313_0400,CLO1313_RS02025,4,glycoside hydrolase,,['CELLULOSOME_TERM']
Clo1313_1907,CLO1313_RS09650,4,class II aldolase family protein,,['FCLPA']
Clo1313_1227,CLO1313_RS06235,4,bifunctional oligoribonuclease/PAP phosphatase NrnA,y,
Clo1313_2926,CLO1313_RS14870,4,ATP-dependent zinc metalloprotease FtsH,,
Clo1313_1601,CLO1313_RS08080,4,hypothetical protein,y,
Clo1313_0708,CLO1313_RS03665,4,2-isopropylmalate synthase,,
Clo1313_0600,CLO1313_RS03055,4,hypothetical protein,y,
Clo1313_2939,CLO1313_RS14935,4,V-type ATP synthase subunit F,,['ATPS']
Clo1313_0188,CLO1313_RS00970,4,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),,"['UAG2EMA', 'UAG2E']"
Clo1313_0706,CLO1313_RS03655,4,MBL fold metallo-hydrolase,,
Clo1313_1769,CLO1313_RS08945,4,DUF115 domain-containing protein,,
Clo1313_2884,CLO1313_RS14655,4,3-isopropylmalate dehydratase large subunit,,"['IPPMIa', 'IPPMIb', 'CITCIb', 'MMHL']"
Clo1313_2435,CLO1313_RS12330,4,efflux RND transporter periplasmic adaptor subunit,,
Clo1313_0426,CLO1313_RS02150,4,phosphoribosylaminoimidazolesuccinocarboxamide synthase,,['PRASCSi']
Clo1313_2335,CLO1313_RS11850,4,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase,,"['CYSS', 'AHSERL4', 'SLCYSS', 'AHHST']"
Clo1313_1823,CLO1313_RS09220,4,putative heavy metal-binding protein,,
Clo1313_1438,CLO1313_RS07275,4,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,,
Clo1313_2994,CLO1313_RS15215,4,DNA-binding response regulator,y,
Clo1313_2124,CLO1313_RS10770,4,"6,7-dimethyl-8-ribityllumazine synthase",,['DLDLBT']
Clo1313_0867,CLO1313_RS04450,4,threonine synthase,,"['4HTHRS', 'THRS']"
Clo1313_1089,CLO1313_RS05535,4,D-alanyl-D-alanine carboxypeptidase,,
Clo1313_2038,CLO1313_RS10315,4,glutamine synthetase,,['GLNS']
Clo1313_0295,CLO1313_RS01525,4,transketolase,,"['TKT2', 'TKT1']"
