modification,reaction_id,reaction_name,old_reaction_equation,new_reaction_equation,mass_and_charge_balance_new,GPR,old_gpr,subsystem,confidence_level,TIC_association,is_blocked,isomer_group,iAT601_RAT_note,reaction_update_notes,metabolite_update_notes,lower_bound,upper_bound,literature_references,curation_notes,DB_links
delete:oxygen_dependent_conflicting_annotation(ferritin),FERO,Ferroxidase,4.0 fe2_c + 4.0 h_c + o2_c --> 4.0 fe3_c + 2.0 h2o_c,4.0 fe2_c + 4.0 h_c + o2_c --> 4.0 fe3_c + 2.0 h2o_c,{},CLO1313_RS11240,Clo1313_2215,Porphyrin and chlorophyll metabolism,0,,TRUE,"['fe2_c', 'fe3_c']",,,,0,1000,,"Oxygen dependent. Also, gene is annotated as ferritin","{'BIGG': ['FEROpp'], 'BRENDA': ['BR40373'], 'EC NUMBER': ['1.16.3.1'], 'KEGG': ['R00078'], 'METACYC': ['RXN0-1483'], 'MXNREF': ['MNXR2250'], 'RHEA': ['11148, 11149, 11150, 11151']}"
,HMBS,Hydroxymethylbilane synthase,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,{},CLO1313_RS00585,Clo1313_0110,Porphyrin and chlorophyll metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['HMBS'], 'BIOPATH': ['RXN00155'], 'BRENDA': ['BR44288'], 'EC NUMBER': ['2.5.1.61'], 'MXNREF': ['MNXR2980'], 'REACTOME': ['REACT_109251, REACT_111975, REACT_112064, REACT_112125, REACT_112182, REACT_112412, REACT_112891, REACT_112987, REACT_113975, REACT_114418, REACT_114514, REACT_114679, REACT_114680, REACT_116165, REACT_135579, REACT_140435, REACT_142207, REACT_145624, REACT_9446'], 'RHEA': ['13185, 13186, 13187, 13188'], 'SEED': ['rxn00060'], 'UPA': ['UCR00084, UER00319']}"
,ATPS,ATPase,atp_c + h2o_c + 2.0 h_c --> adp_c + 2.0 h_e + pi_c,atp_c + h2o_c + h_c --> adp_c + 2.0 h_e + pi_c,{},(CLO1313_RS01005) or (CLO1313_RS14915 and CLO1313_RS14920 and CLO1313_RS14925 and CLO1313_RS14930 and CLO1313_RS14935 and CLO1313_RS14940 and CLO1313_RS14945 and CLO1313_RS14950) or (CLO1313_RS00975 and CLO1313_RS00980 and CLO1313_RS00985 and CLO1313_RS00990 and CLO1313_RS00995 and CLO1313_RS01000) or CLO1313_RS01005 or CLO1313_RS01010 or CLO1313_RS10355 or CLO1313_RS14910 or CLO1313_RS14915 or CLO1313_RS14920 or CLO1313_RS14925 or CLO1313_RS05885 or CLO1313_RS06805 or CLO1313_RS05475 or CLO1313_RS14990 or CLO1313_RS09995,Clo1313_2044 or Clo1313_2934 or Clo1313_2935 or Clo1313_2936 or Clo1313_2937 or Clo1313_2938 or Clo1313_2939 or Clo1313_2940 or Clo1313_2941 or Clo1313_2942,Oxidative phosphorylation,2,,,"['atp_c', 'dgtp_c']",,proton balance,,0,1000,,Added several putative ATPS genes based on genome annotation,"{'BIGG': ['ATPM, ATPS, NTP1'], 'BIOPATH': ['RXN00003, RXN01035'], 'BRENDA': ['BR22769, BR22782, BS141407'], 'EC NUMBER': ['3.6.1.3         3.6.1.5         3.6.1.8         3.6.1.15'], 'KEGG': ['R00086'], 'METACYC': ['3.6.3.50-RXN, 3.6.3.51-RXN, 3.6.3.52-RXN, 3.6.4.1-RXN, 3.6.4.11-RXN, 3.6.4.2-RXN, 3.6.4.3-RXN, 3.6.4.4-RXN, 3.6.4.5-RXN, 3.6.4.6-RXN, 3.6.4.7-RXN, 3.6.4.8-RXN, 3.6.4.9-RXN, ADENOSINETRIPHOSPHATASE-RXN, RXN-10799, RXN-10800, RXN-11109, RXN-11135, RXN0-1061'], 'MXNREF': ['MNXR892'], 'REACTOME': ['REACT_110331, REACT_114392, REACT_125833, REACT_125930, REACT_127575, REACT_128535, REACT_131968, REACT_132070, REACT_132222, REACT_133711, REACT_134617, REACT_136874, REACT_140447, REACT_142102, REACT_143625, REACT_146014, REACT_15379, REACT_25268, REACT_86172'], 'RHEA': ['13065, 13066, 13067, 13068, 20852, 20853, 20854, 20855'], 'SEED': ['rxn00062, rxn08173, rxn09528, rxn09529, rxn09530, rxn09694, rxn10042, rxn10443, rxn11300, rxn13766']}"
,GLUS,Glutamate synthase (NADH),akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c,akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c,{},CLO1313_RS09345 or CLO1313_RS07420 or CLO1313_RS08370 or CLO1313_RS09335 or CLO1313_RS08490,Clo1313_1849 or Clo1313_1467 or Clo1313_1657 or Clo1313_1847 or Clo1313_1681,"Alanine, aspartate and glutamate metabolism",2,,TRUE,"['glu__L_c', 'glu__D_c']",,,,0,1000,,,"{'BIGG': ['GLUSx'], 'BRENDA': ['BR36862, BS370168'], 'EC NUMBER': ['1.4.1.14'], 'KEGG': ['R00093'], 'METACYC': ['GLUTAMATE-SYNTHASE-NADH-RXN'], 'MXNREF': ['MNXR31608'], 'RHEA': ['13753, 13754, 13755, 13756'], 'SEED': ['rxn00069'], 'UPA': ['UCR00093, UER00690']}"
,NADK,NAD kinase,atp_c + nad_c --> adp_c + nadp_c,atp_c + nad_c --> adp_c + h_c + nadp_c,{},CLO1313_RS07110,Clo1313_1405,Nicotinate and nicotinamide metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['NADK, NADKm'], 'BIOPATH': ['RXN00607'], 'BRENDA': ['BR47763'], 'EC NUMBER': ['2.7.1.22'], 'KEGG': ['R00104'], 'METACYC': ['NAD-KIN-RXN'], 'MXNREF': ['MNXR3759'], 'REACTOME': ['REACT_100443, REACT_100710, REACT_104124, REACT_105015, REACT_106904, REACT_109125, REACT_11234, REACT_28799, REACT_29129, REACT_30450, REACT_32843, REACT_93050, REACT_94691, REACT_97499'], 'RHEA': ['18629, 18630, 18631, 18632'], 'SEED': ['rxn00077']}"
,GLUSy,Glutamate synthase (NADPH),akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,{},CLO1313_RS10305 or CLO1313_RS10290 or CLO1313_RS09345,Clo1313_2035 or Clo1313_2032 or Clo1313_1849,"Alanine, aspartate and glutamate metabolism",2,,TRUE,"['glu__L_c', 'glu__D_c']",,,,0,1000,,,"{'BIGG': ['GLUSy'], 'BIOPATH': ['RXN00859'], 'BRENDA': ['BR36861, BS370167'], 'EC NUMBER': ['1.4.1.13'], 'KEGG': ['R00114'], 'METACYC': ['GLUTAMATESYN-RXN'], 'MXNREF': ['MNXR31609'], 'RHEA': ['15501, 15502, 15503, 15504'], 'SEED': ['rxn00085'], 'UPA': ['UCR00114, UER00689']}"
,ADK1,Adenylate kinase,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,amp_c + atp_c --> 2.0 adp_c,{},CLO1313_RS02365,Clo1313_0466,Purine metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['ADK1, ADK1m'], 'BIOCYC': ['ADENYL-KIN-RXN'], 'BIOPATH': ['RXN00680'], 'BRENDA': ['BR47850'], 'EC NUMBER': ['2.7.4.3'], 'KEGG': ['R00127'], 'METACYC': ['ADENYL-KIN-RXN'], 'MXNREF': ['MNXR479'], 'REACTOME': ['REACT_100354, REACT_100999, REACT_104314, REACT_106139, REACT_107217, REACT_109890, REACT_145463, REACT_153379, REACT_153437, REACT_154529, REACT_154771, REACT_158659, REACT_159588, REACT_2031, REACT_31539, REACT_32517, REACT_33002, REACT_33987, REACT_34796, REACT_390, REACT_78886, REACT_80849, REACT_80989, REACT_82847, REACT_84010, REACT_84704, REACT_85367, REACT_85846, REACT_91426, REACT_91927, REACT_92343, REACT_92843, REACT_94373, REACT_95537, REACT_96203, REACT_97241, REACT_97658'], 'RHEA': ['12973, 12974, 12975, 12976'], 'SEED': ['rxn00097, rxn11199'], 'UPA': ['UCR00127, UER00649']}"
,DPCOAK,Dephospho-CoA kinase,atp_c + dpcoa_c --> adp_c + coa_c + h_c,atp_c + dpcoa_c --> adp_c + coa_c + h_c,{},CLO1313_RS06770,Clo1313_1335,Pantothenate and CoA biosynthesis,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['DPCOAK, DPCOAKm'], 'BIOCYC': ['DEPHOSPHOCOAKIN-RXN'], 'BIOPATH': ['RXN00293'], 'BRENDA': ['BR48063'], 'EC NUMBER': ['2.7.1.24'], 'KEGG': ['R00130'], 'METACYC': ['DEPHOSPHOCOAKIN-RXN'], 'MXNREF': ['MNXR1772'], 'REACTOME': ['REACT_103651, REACT_11093, REACT_128998, REACT_159966, REACT_30468, REACT_30902, REACT_32306, REACT_33500, REACT_77675, REACT_82321, REACT_89804, REACT_90005, REACT_93983'], 'RHEA': ['18245, 18246, 18247, 18248'], 'SEED': ['rxn00100'], 'UPA': ['UCR00130, UER00356']}"
,UREA,Urease,h2o_c + h_c + urea_c --> co2_c + 2.0 nh4_c,h2o_c + 2.0 h_c + urea_c --> co2_c + 2.0 nh4_c,{},(CLO1313_RS12615 and CLO1313_RS12620 and CLO1313_RS12625) and (CLO1313_RS12595 and CLO1313_RS12600 and CLO1313_RS12605 and CLO1313_RS12610 and CLO1313_RS12615),Clo1313_2490 or Clo1313_2491 or Clo1313_2492,Purine metabolism,2,,,,,,,0,1000,,,"{'BIGG': ['UREA'], 'BIOCYC': ['UREASE-RXN'], 'BIOPATH': ['RXN00445'], 'BRENDA': ['BR22694'], 'EC NUMBER': ['3.5.1.5'], 'KEGG': ['R00131'], 'METACYC': ['UREASE-RXN'], 'MXNREF': ['MNXR5297'], 'RHEA': ['20557, 20558, 20559, 20560, 25346'], 'SEED': ['rxn00101'], 'UPA': ['UCR00131, UER00370']}"
,NMNAT,Nicotinamide-nucleotide adenylyltransferase,atp_c + h_c + nmn_c --> nad_c + ppi_c,atp_c + h_c + nmn_c --> nad_c + ppi_c,{},CLO1313_RS05180,Clo1313_1016,Nicotinate and nicotinamide metabolism,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['NMNAT, NMNATm, NMNATn, NMNATr'], 'BIOCYC': ['NICONUCADENYLYLTRAN-RXN'], 'BIOPATH': ['RXN01195'], 'BRENDA': ['BR47858'], 'EC NUMBER': ['2.7.7.1         2.7.7.18'], 'KEGG': ['R00137'], 'METACYC': ['2.7.7.1-RXN'], 'MXNREF': ['MNXR3827'], 'RHEA': ['21360, 21361, 21362, 21363'], 'SEED': ['rxn00105'], 'UPA': ['UCR00137, UER00600']}"
,HAMR,Hydroxylamine reductase,h_c + ham_c + nadh_c <=> h2o_c + nad_c + nh4_c,2.0 h_c + ham_c + nadh_c <=> h2o_c + nad_c + nh4_c,{},CLO1313_RS11135,Clo1313_2198,Nitrogen metabolism,2,,TRUE,,['Made reversible because no other model included the reaction despite genome annotation'],,,-1000,1000,,,"{'EC NUMBER': ['1.7.1.10        1.7.99.1'], 'KEGG': ['R00143']}"
,NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),atp_c + udp_c --> adp_c + utp_c,atp_c + udp_c --> adp_c + utp_c,{},CLO1313_RS07615,Clo1313_1508,Pyrimidine metabolism,2,"['NDPK2', 'NDPK1', 'UTCY', 'CYTDK2']",,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIOCYC': ['UDPKIN-RXN'], 'EC NUMBER': ['2.7.4.6'], 'KEGG': ['R00156'], 'METACYC': ['UDPKIN-RXN'], 'MXNREF': ['MNXR55759'], 'RHEA': ['25098, 25099, 25100, 25101'], 'SEED': ['rxn00117'], 'UPA': ['UCR00156, UER00276']}"
,UMPK,UMP kinase,atp_c + ump_c --> adp_c + udp_c,atp_c + ump_c --> adp_c + udp_c,{},CLO1313_RS07635 or CLO1313_RS06160,Clo1313_1512 or Clo1313_1211,Pyrimidine metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['UMPK, UMPKm, UMPKn, URIDK1'], 'BIOCYC': ['RXN-12002'], 'BIOPATH': ['RXN01502'], 'BRENDA': ['BR48071'], 'EC NUMBER': ['2.7.4.4         2.7.4.14        2.7.4.22'], 'KEGG': ['R00158'], 'METACYC': ['2.7.4.22-RXN, RXN-12002'], 'MXNREF': ['MNXR56029'], 'RHEA': ['24400, 24401, 24402, 24403'], 'SEED': ['rxn00119'], 'UPA': ['UCR00158, UER00274, UER00275']}"
,FMNAT,FMN adenylyltransferase,atp_c + fmn_c + h_c --> fad_c + ppi_c,atp_c + fmn_c + 2.0 h_c --> fad_c + ppi_c,{},CLO1313_RS06245,Clo1313_1229,Riboflavin metabolism,2,,TRUE,"['atp_c', 'dgtp_c']",,,"['MET_ID:fad_c, NOTE: there is no fadhÃ¢â‚¬Â¦']",0,1000,,,"{'BIGG': ['FMNAT, FMNATm'], 'BIOCYC': ['FADSYN-RXN'], 'BRENDA': ['BR47867'], 'EC NUMBER': ['2.7.7.2'], 'KEGG': ['R00161'], 'METACYC': ['FADSYN-RXN'], 'MXNREF': ['MNXR55426'], 'REACTOME': ['REACT_100498, REACT_101323, REACT_103618, REACT_11128, REACT_113625, REACT_131422, REACT_138527, REACT_32724, REACT_34649, REACT_81244, REACT_82934, REACT_85313, REACT_85926, REACT_89710'], 'RHEA': ['17237, 17238, 17239, 17240'], 'SEED': ['rxn00122'], 'UPA': ['UCR00161, UER00407']}"
,METAT,Methionine adenosyltransferase,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,{},CLO1313_RS14860,Clo1313_2924,Cysteine and methionine metabolism,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['METAT'], 'BIOCYC': ['S-ADENMETSYN-RXN'], 'BIOPATH': ['RXN00344'], 'BRENDA': ['BR47590'], 'EC NUMBER': ['2.5.1.6'], 'KEGG': ['R00177'], 'METACYC': ['S-ADENMETSYN-RXN'], 'MXNREF': ['MNXR3487'], 'REACTOME': ['REACT_103144, REACT_105520, REACT_127322, REACT_132106, REACT_133813, REACT_135986, REACT_139445, REACT_142003, REACT_159813, REACT_32402, REACT_6819, REACT_77762, REACT_77766, REACT_77967, REACT_86939, REACT_91839, REACT_92413, REACT_96978'], 'RHEA': ['21080, 21081, 21082, 21083'], 'SEED': ['rxn00126'], 'UPA': ['UCR00177, UER00080']}"
,NTD7,5'-nucleotidase (AMP),amp_c + h2o_c --> adn_c + pi_c,amp_c + h2o_c --> adn_c + pi_c,{},CLO1313_RS15375,Clo1313_3022,Purine metabolism,2,,TRUE,"['amp_c', 'dgmp_c']",,,,0,1000,,,"{'BIGG': ['NTD7, NTD7e, NTD7l, NTD7pp'], 'BIOCYC': ['AMP-DEPHOSPHORYLATION-RXN'], 'BIOPATH': ['RXN01372'], 'BRENDA': ['BS64616'], 'EC NUMBER': ['3.1.3.5'], 'KEGG': ['R00183'], 'METACYC': ['AMP-DEPHOSPHORYLATION-RXN'], 'MXNREF': ['MNXR3880'], 'REACTOME': ['REACT_100871, REACT_102002, REACT_108023, REACT_127041, REACT_144387, REACT_1556, REACT_30137, REACT_81741, REACT_84607'], 'RHEA': ['29375, 29376, 29377, 29378'], 'SEED': ['rxn00132']}"
,BPNT,"3',5'-bisphosphate nucleotidase",h2o_c + pap_c --> amp_c + pi_c,h2o_c + pap_c --> amp_c + pi_c,{},CLO1313_RS00635,Clo1313_0120,Purine metabolism,2,,TRUE,"['amp_c', 'dgmp_c']",,,,0,1000,,,"{'BIGG': ['BPNT2'], 'EC NUMBER': ['2.7.1.25'], 'KEGG': ['R00188'], 'METACYC': ['R163-RXN'], 'MXNREF': ['MNXR966'], 'REACTOME': ['REACT_27229'], 'SEED': ['rxn00360']}"
,ADPT,Adenine phosphoribosyltransferase,ade_c + prpp_c <-- amp_c + ppi_c,ade_c + prpp_c --> amp_c + h_c + ppi_c,{},CLO1313_RS04650,Clo1313_0908,Purine metabolism,2,,TRUE,"['amp_c', 'dgmp_c']",,,,0,1000,,,"{'BIGG': ['ADPT'], 'BIOPATH': ['RXN01461'], 'BRENDA': ['BR47515'], 'EC NUMBER': ['2.4.2.7         2.4.2.8'], 'KEGG': ['R00190'], 'METACYC': ['ADENPRIBOSYLTRAN-RXN'], 'MXNREF': ['MNXR54984'], 'REACTOME': ['REACT_101521, REACT_104879, REACT_137757, REACT_165, REACT_28201, REACT_31142, REACT_32070, REACT_32872, REACT_32930, REACT_84269, REACT_85331, REACT_88309, REACT_90510, REACT_92365, REACT_94463'], 'RHEA': ['16609, 16610, 16611, 16612'], 'SEED': ['rxn00139'], 'UPA': ['UCR00190, UER00646']}"
,AHCi,Adenosylhomocysteinase,ahcys_c + h2o_c --> adn_c + hcys__L_c,ahcys_c + h2o_c --> adn_c + hcys__L_c,{},CLO1313_RS05380,Clo1313_1057,Cysteine and methionine metabolism,2,,TRUE,"['adn_c', 'dgsn_c']",,,,0,1000,,,"{'BIGG': ['AHC, AHCi'], 'BIOCYC': ['ADENOSYLHOMOCYSTEINASE-RXN'], 'BIOPATH': ['RXN00127'], 'BRENDA': ['BR16046'], 'EC NUMBER': ['3.3.1.1'], 'KEGG': ['R00192'], 'METACYC': ['ADENOSYLHOMOCYSTEINASE-RXN'], 'MXNREF': ['MNXR578'], 'REACTOME': ['REACT_102024, REACT_107160, REACT_109196, REACT_152917, REACT_30892, REACT_31016, REACT_33702, REACT_6756, REACT_77798, REACT_77951, REACT_84192, REACT_85428, REACT_99437'], 'RHEA': ['21708, 21709, 21710, 21711'], 'SEED': ['rxn00141'], 'UPA': ['UCR00192, UER00076']}"
,PPDK,"Pyruvate,phosphate dikinase.",amp_c + pep_c + ppi_c --> atp_c + h_c + pi_c + pyr_c,amp_c + h_c + pep_c + ppi_c --> atp_c + pi_c + pyr_c,{},CLO1313_RS04850,Clo1313_0949,Pyruvate metabolism,4,,,"['atp_c', 'dgtp_c']",['Designated to run irreversibly producing ATP and pyruvate. Core model reaction is reversible. Could potentially run reversibly as there was no real consensus in the template models'],,,0,1000,,,"{'BIGG': ['PPDK'], 'BIOCYC': ['PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN'], 'BRENDA': ['BR48096'], 'EC NUMBER': ['2.7.9.1     2.7.9.2'], 'IAT CORE': ['GG11r, PPDK'], 'KEGG': ['R00206'], 'METACYC': ['PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN'], 'MXNREF': ['MNXR4389'], 'RHEA': ['10756, 10757, 10758, 10759'], 'SEED': ['rxn00151']}"
,PFL,Pyruvate formate lyase,coa_c + pyr_c --> accoa_c + for_c,coa_c + pyr_c --> accoa_c + for_c,{},(CLO1313_RS08685 and CLO1313_RS08680) or CLO1313_RS09160,Clo1313_1717,Pyruvate metabolism,4,,,,,,,0,1000,,Added a pyruvate formate lyase acivating protein as a requirement. Not confirmed experimentally.,"{'BIGG': ['PFL, PFLr'], 'BIOCYC': ['PYRUVFORMLY-RXN'], 'BIOPATH': ['RXN01365'], 'BRENDA': ['BR44056'], 'EC NUMBER': ['2.3.1.54'], 'IAT CORE': ['FEM1, PFL'], 'KEGG': ['R00212'], 'METACYC': ['PYRUVFORMLY-RXN'], 'MXNREF': ['MNXR4175'], 'RHEA': ['11844, 11845, 11846, 11847'], 'SEED': ['rxn00157'], 'UPA': ['UCR00212, UER00891']}"
