locus_tag,old_locus_tag,gene,product
CLO1313_RS00220,Clo1313_0042,,DNA repair exonuclease
CLO1313_RS00225,Clo1313_0043,,chromosome segregation protein SMC
CLO1313_RS00230,Clo1313_0044,,peptidase P60
CLO1313_RS15485,Clo1313_0045,,UDP-N-acetylglucosamine--LPS N-acetylglucosamine transferase
CLO1313_RS00245,Clo1313_0046,sleB,spore cortex-lytic enzyme
CLO1313_RS00250,Clo1313_0047,ypeB,germination protein YpeB
CLO1313_RS00255,Clo1313_0048,,CPBP family intramembrane metalloprotease domain-containing protein
CLO1313_RS00260,Clo1313_0049,,DNA replication protein DnaC
CLO1313_RS00265,Clo1313_0050,,DNA replication protein DnaD
CLO1313_RS00275,Clo1313_0051,,HD domain-containing protein
CLO1313_RS00280,Clo1313_0052,,hypothetical protein
CLO1313_RS00285,Clo1313_0053,,DUF5050 domain-containing protein
CLO1313_RS00290,Clo1313_0054,,type 3a cellulose-binding domain protein
CLO1313_RS00295,Clo1313_0055,,copper amine oxidase
CLO1313_RS00300,Clo1313_0056,,motility protein A
CLO1313_RS00305,Clo1313_0057,,membrane protein
CLO1313_RS00310,Clo1313_0058,,DUF1385 domain-containing protein
CLO1313_RS00315,Clo1313_0059,prmC,peptide chain release factor N(5)-glutamine methyltransferase
CLO1313_RS00320,Clo1313_0060,ytvI,sporulation integral membrane protein YtvI
CLO1313_RS00325,Clo1313_0061,,electron transport complex subunit RsxC
CLO1313_RS00330,Clo1313_0062,,NADH:ubiquinone oxidoreductase
CLO1313_RS00335,Clo1313_0063,,electron transporter RnfG
CLO1313_RS00340,Clo1313_0064,,electron transport complex subunit RsxE
CLO1313_RS00345,Clo1313_0065,,electron transport complex subunit RsxA
CLO1313_RS00350,Clo1313_0066,,ferredoxin
CLO1313_RS00355,Clo1313_0067,,hypothetical protein
CLO1313_RS00360,Clo1313_0068,,shikimate kinase
CLO1313_RS00365,Clo1313_0070,,N-acetyltransferase
CLO1313_RS00370,Clo1313_0071,,DUF4275 domain-containing protein
CLO1313_RS00375,Clo1313_0072,,DeoR/GlpR transcriptional regulator
CLO1313_RS00380,Clo1313_0073,,glycerol kinase GlpK
CLO1313_RS00385,Clo1313_0074,,transketolase
CLO1313_RS00390,Clo1313_0075,,transketolase
CLO1313_RS00395,Clo1313_0076,,NAD(P)-dependent alcohol dehydrogenase
CLO1313_RS00400,Clo1313_0077,,sugar ABC transporter substrate-binding protein
CLO1313_RS00405,Clo1313_0078,,sugar ABC transporter ATP-binding protein
CLO1313_RS00410,Clo1313_0079,,ABC transporter permease
CLO1313_RS00415,Clo1313_0080,,histidine phosphatase family protein
CLO1313_RS00420,,,hypothetical protein
CLO1313_RS00425,Clo1313_0081,,helicase
CLO1313_RS00430,Clo1313_0082,pepF,oligoendopeptidase F
CLO1313_RS00435,Clo1313_0083,,nucleotide pyrophosphohydrolase
CLO1313_RS00440,Clo1313_0084,,ferrous iron transporter A
CLO1313_RS00450,Clo1313_0085,,nucleoside deaminase
CLO1313_RS00460,,,hypothetical protein
CLO1313_RS00465,Clo1313_0087,,cupin domain-containing protein
CLO1313_RS00470,Clo1313_0088,,hypothetical protein
CLO1313_RS00475,Clo1313_0089,,LacI family transcriptional regulator
CLO1313_RS15490,Clo1313_0090,,hypothetical protein
CLO1313_RS00490,Clo1313_0091,,peptidase U57
CLO1313_RS00495,Clo1313_0092,,DNA topoisomerase III
CLO1313_RS00500,Clo1313_0093,,DUF368 domain-containing protein
CLO1313_RS00505,Clo1313_0094,,mechanosensitive ion channel family protein
CLO1313_RS00510,Clo1313_0095,,DUF951 domain-containing protein
CLO1313_RS00515,Clo1313_0096,,peptidase S1
CLO1313_RS00520,Clo1313_0097,,hypothetical protein
CLO1313_RS00525,Clo1313_0098,,nucleoside deaminase
CLO1313_RS00530,Clo1313_0099,ilvB,"acetolactate synthase, large subunit, biosynthetic type"
CLO1313_RS00535,Clo1313_0100,,acetolactate synthase small subunit
CLO1313_RS00540,Clo1313_0101,,ketol-acid reductoisomerase
CLO1313_RS00545,Clo1313_0102,,citramalate synthase
CLO1313_RS00550,Clo1313_0103,,hypothetical protein
CLO1313_RS00555,Clo1313_0104,sigI,RNA polymerase sigma factor SigI
CLO1313_RS00560,Clo1313_0105,,membrane protein
CLO1313_RS00565,Clo1313_0106,,DUF2721 domain-containing protein
CLO1313_RS00570,Clo1313_0107,,Rrf2 family transcriptional regulator
CLO1313_RS00575,Clo1313_0108,hemA,glutamyl-tRNA reductase
CLO1313_RS00580,Clo1313_0109,,bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase
CLO1313_RS00585,Clo1313_0110,,hydroxymethylbilane synthase
CLO1313_RS00590,Clo1313_0111,cobA,uroporphyrinogen-III C-methyltransferase
CLO1313_RS00595,Clo1313_0112,,porphobilinogen synthase
CLO1313_RS00600,Clo1313_0113,hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
CLO1313_RS00605,Clo1313_0114,,sulfate ABC transporter substrate-binding protein
CLO1313_RS00610,Clo1313_0115,cysT,sulfate ABC transporter permease subunit CysT
CLO1313_RS00615,Clo1313_0116,cysW,sulfate ABC transporter permease subunit CysW
CLO1313_RS00620,Clo1313_0117,,sulfate ABC transporter ATP-binding protein
CLO1313_RS00625,Clo1313_0118,,phosphoadenylyl-sulfate reductase
CLO1313_RS00630,Clo1313_0119,,sulfate adenylyltransferase subunit 2
CLO1313_RS00635,Clo1313_0120,,adenylyl-sulfate kinase
CLO1313_RS00640,Clo1313_0121,thiS,thiamine biosynthesis protein ThiS
CLO1313_RS00645,Clo1313_0122,,molybdopterin-synthase adenylyltransferase MoeB
CLO1313_RS00650,Clo1313_0123,,Mov34/MPN/PAD-1 family protein
CLO1313_RS00655,Clo1313_0124,,nitrite and sulphite reductase 4Fe-4S region
CLO1313_RS00660,Clo1313_0125,,sulfurtransferase TusA family protein
CLO1313_RS00665,Clo1313_0126,,sporulation protein
CLO1313_RS00670,Clo1313_0127,,RNA polymerase sigma factor
CLO1313_RS00675,Clo1313_0128,,ATP-binding protein
CLO1313_RS00680,Clo1313_0129,,hypothetical protein
CLO1313_RS15495,,,hypothetical protein
CLO1313_RS00685,,,response regulator
CLO1313_RS00690,Clo1313_0131,,hypothetical protein
CLO1313_RS00695,Clo1313_0132,,hypothetical protein
CLO1313_RS00700,Clo1313_0133,,Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
CLO1313_RS00705,Clo1313_0135,,dockerin
CLO1313_RS00710,Clo1313_0136,,glycosyl transferase
CLO1313_RS00715,Clo1313_0137,,radical SAM protein
CLO1313_RS00720,Clo1313_0138,,radical SAM/SPASM domain-containing protein
CLO1313_RS00725,Clo1313_0139,,radical SAM protein
CLO1313_RS00730,Clo1313_0140,,glycosyl transferase family 1
CLO1313_RS00735,Clo1313_0141,,FkbM family methyltransferase
CLO1313_RS00740,Clo1313_0142,,radical SAM protein
CLO1313_RS00745,Clo1313_0143,,glycosyl transferase
CLO1313_RS00750,Clo1313_0144,,NAD-dependent dehydratase
CLO1313_RS00755,Clo1313_0145,,"dTDP-4-amino-4,6-dideoxygalactose transaminase"
CLO1313_RS00760,Clo1313_0146,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase"
CLO1313_RS00765,Clo1313_0147,rfbG,"CDP-glucose 4,6-dehydratase"
CLO1313_RS00770,Clo1313_0148,rfbF,glucose-1-phosphate cytidylyltransferase
CLO1313_RS00775,Clo1313_0149,,hypothetical protein
CLO1313_RS00780,Clo1313_0150,,IS256 family transposase ISCth4
CLO1313_RS00785,Clo1313_0151,,DinB family protein
CLO1313_RS00790,Clo1313_0152,,B12-binding domain-containing radical SAM protein
CLO1313_RS00795,Clo1313_0153,,cupin domain-containing protein
CLO1313_RS00800,Clo1313_0154,,hypothetical protein
CLO1313_RS00805,Clo1313_0155,,hypothetical protein
CLO1313_RS00810,Clo1313_0156,,hypothetical protein
CLO1313_RS00815,Clo1313_0157,,hypothetical protein
CLO1313_RS00820,,,hypothetical protein
CLO1313_RS00825,Clo1313_0159,,hypothetical protein
CLO1313_RS00830,Clo1313_0160,,ABC transporter ATP-binding protein
CLO1313_RS00835,Clo1313_0161,,ABC transporter permease
CLO1313_RS00840,Clo1313_0162,,ABC transporter substrate-binding protein
CLO1313_RS00845,Clo1313_0163,,hypothetical protein
CLO1313_RS00850,Clo1313_0164,,CYTH domain-containing protein
CLO1313_RS00855,Clo1313_0165,,Ppx/GppA family phosphatase
CLO1313_RS00860,Clo1313_0166,,alcohol dehydrogenase
CLO1313_RS00865,Clo1313_0167,,metallophosphoesterase
CLO1313_RS00870,Clo1313_0168,folP,dihydropteroate synthase
CLO1313_RS00875,Clo1313_0169,folB,dihydroneopterin aldolase
CLO1313_RS00880,Clo1313_0170,folK,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
CLO1313_RS00885,Clo1313_0171,,hypothetical protein
CLO1313_RS00890,Clo1313_0172,,biotin--[acetyl-CoA-carboxylase] ligase
CLO1313_RS00895,Clo1313_0173,,amidohydrolase
CLO1313_RS00900,Clo1313_0174,,hypothetical protein
CLO1313_RS00905,Clo1313_0175,,type III pantothenate kinase
CLO1313_RS00910,Clo1313_0176,,hypothetical protein
CLO1313_RS00915,Clo1313_0177,,glycoside hydrolase
CLO1313_RS00920,Clo1313_0178,,hypothetical protein
CLO1313_RS00925,Clo1313_0179,,DUF2752 domain-containing protein
CLO1313_RS00930,Clo1313_0180,,peptide chain release factor 1
CLO1313_RS00935,Clo1313_0181,,zinc permease
CLO1313_RS00940,Clo1313_0182,,threonylcarbamoyl-AMP synthase
CLO1313_RS00945,Clo1313_0183,,low molecular weight protein arginine phosphatase
CLO1313_RS00950,Clo1313_0184,rpiB,ribose 5-phosphate isomerase B
CLO1313_RS00955,Clo1313_0185,,uracil phosphoribosyltransferase
CLO1313_RS00960,Clo1313_0186,,cytidine deaminase
CLO1313_RS00965,Clo1313_0187,,undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
CLO1313_RS00970,Clo1313_0188,,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
CLO1313_RS00975,Clo1313_0189,,F0F1 ATP synthase subunit A
CLO1313_RS00980,Clo1313_0190,atpE,ATP synthase F0 subunit C
CLO1313_RS00985,Clo1313_0191,atpF,ATP synthase subunit B
CLO1313_RS00990,Clo1313_0192,,ATP synthase F1 subunit delta
CLO1313_RS00995,Clo1313_0193,,F0F1 ATP synthase subunit alpha
CLO1313_RS01000,Clo1313_0194,,ATP synthase subunit gamma
CLO1313_RS01005,Clo1313_0195,atpD,ATP synthase subunit beta
CLO1313_RS01010,Clo1313_0196,atpC,ATP synthase epsilon chain
CLO1313_RS01015,Clo1313_0197,,DUF2325 domain-containing protein
CLO1313_RS01020,Clo1313_0198,,ferrous iron transporter A
CLO1313_RS01025,Clo1313_0199,,ferrous iron transporter A
CLO1313_RS01030,Clo1313_0200,,hypothetical protein
CLO1313_RS01035,Clo1313_0201,,hypothetical protein
CLO1313_RS01040,Clo1313_0202,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
CLO1313_RS01045,Clo1313_0203,spoIID,stage II sporulation protein D
CLO1313_RS01050,Clo1313_0204,,peptidase M23
CLO1313_RS01055,Clo1313_0205,spoIIID,sporulation transcriptional regulator SpoIIID
CLO1313_RS01060,Clo1313_0206,,rod shape-determining protein
CLO1313_RS01065,Clo1313_0207,,flagellar basal body rod protein FlgG
CLO1313_RS01070,Clo1313_0208,flgG,flagellar basal-body rod protein FlgG
CLO1313_RS01075,Clo1313_0209,,flagellar protein FlgJ
CLO1313_RS01080,Clo1313_0210,,exopolysaccharide biosynthesis protein
CLO1313_RS15500,,,hypothetical protein
CLO1313_RS01085,Clo1313_0211,,ABC transporter ATP-binding protein
CLO1313_RS01090,Clo1313_0213,fabZ,beta-hydroxyacyl-ACP dehydratase
CLO1313_RS01095,Clo1313_0214,,UDP-N-acetylmuramate--L-alanine ligase
CLO1313_RS01100,Clo1313_0215,,pur operon repressor
CLO1313_RS01105,Clo1313_0216,,septation protein SpoVG
CLO1313_RS01110,Clo1313_0217,glmU,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
CLO1313_RS01115,Clo1313_0218,,ribose-phosphate pyrophosphokinase
CLO1313_RS01120,Clo1313_0219,,aminoacyl-tRNA hydrolase
CLO1313_RS01125,Clo1313_0220,mfd,transcription-repair coupling factor
CLO1313_RS01130,Clo1313_0221,,peptidyl-prolyl cis-trans isomerase
CLO1313_RS15505,Clo1313_0222,,hypothetical protein
CLO1313_RS01135,Clo1313_0223,,AraC family transcriptional regulator
CLO1313_RS01140,Clo1313_0224,,pyridoxamine 5'-phosphate oxidase family protein
CLO1313_RS01145,Clo1313_0225,mviN,murein biosynthesis integral membrane protein MurJ
CLO1313_RS01150,Clo1313_0226,,glycosyltransferase family 1 protein
CLO1313_RS01155,Clo1313_0227,,polymerase
CLO1313_RS01160,Clo1313_0228,,acylneuraminate cytidylyltransferase family protein
CLO1313_RS01165,Clo1313_0229,neuC,UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)
CLO1313_RS01170,Clo1313_0230,neuB,N-acetylneuraminate synthase
CLO1313_RS01175,Clo1313_0231,,serine acetyltransferase
CLO1313_RS01180,Clo1313_0232,,nucleotidyltransferase
CLO1313_RS01185,Clo1313_0233,,aminotransferase DegT
CLO1313_RS01190,Clo1313_0234,,NAD-dependent dehydratase
CLO1313_RS01195,Clo1313_0235,,capsular polysaccharide biosynthesis protein
CLO1313_RS01200,Clo1313_0236,,carboxylate--amine ligase
CLO1313_RS01205,Clo1313_0237,,sugar transferase
CLO1313_RS01210,Clo1313_0238,,aldolase
CLO1313_RS01215,Clo1313_0239,,polysaccharide biosynthesis protein
CLO1313_RS01220,Clo1313_0240,,hypothetical protein
CLO1313_RS01225,Clo1313_0241,,LPS biosynthesis protein
CLO1313_RS01230,Clo1313_0242,,capsular polysaccharide biosynthesis protein
CLO1313_RS01235,Clo1313_0243,,hypothetical protein
CLO1313_RS01240,Clo1313_0244,spoVT,stage V sporulation protein T
CLO1313_RS01245,Clo1313_0245,,nucleoside triphosphate pyrophosphohydrolase
CLO1313_RS01250,Clo1313_0246,,HU family DNA-binding protein
CLO1313_RS01255,Clo1313_0247,,hypothetical protein
CLO1313_RS01260,Clo1313_0248,yabP,sporulation protein YabP
CLO1313_RS01265,Clo1313_0249,yabQ,spore cortex biosynthesis protein YabQ
CLO1313_RS01270,Clo1313_0250,,septation inhibitor protein
CLO1313_RS01275,Clo1313_0251,,RNA-binding protein S1
CLO1313_RS01290,Clo1313_0252,,methyl-accepting chemotaxis protein
CLO1313_RS01295,Clo1313_0253,,2-octaprenylphenol hydroxylase
CLO1313_RS01300,Clo1313_0254,,hypothetical protein
CLO1313_RS01305,Clo1313_0255,,"calcium-translocating P-type ATPase, PMCA-type"
CLO1313_RS01310,Clo1313_0256,,TetR family transcriptional regulator
CLO1313_RS01315,,,hypothetical protein
CLO1313_RS01320,,,hypothetical protein
CLO1313_RS01325,,,hypothetical protein
CLO1313_RS01330,Clo1313_0258,,hypothetical protein
CLO1313_RS01335,,,hypothetical protein
CLO1313_RS01340,Clo1313_0260,,hydrolase
CLO1313_RS01345,Clo1313_0262,,hypothetical protein
CLO1313_RS01350,,,hypothetical protein
CLO1313_RS01355,Clo1313_0264,,hypothetical protein
CLO1313_RS01360,Clo1313_0265,,hypothetical protein
CLO1313_RS01365,Clo1313_0266,,TraB/GumN family protein
CLO1313_RS01370,,,two-component sensor histidine kinase
CLO1313_RS01375,Clo1313_0268,,hypothetical protein
CLO1313_RS01380,Clo1313_0269,,hypothetical protein
CLO1313_RS01385,Clo1313_0270,,peptidase S41
CLO1313_RS01405,Clo1313_0271,spoIIE,stage II sporulation protein E
CLO1313_RS01410,Clo1313_0272,,hypothetical protein
CLO1313_RS01415,Clo1313_0273,,hypothetical protein
CLO1313_RS01425,Clo1313_0274,,PilZ domain-containing protein
CLO1313_RS01430,Clo1313_0275,,tRNA dihydrouridine synthase DusB
CLO1313_RS01435,Clo1313_0276,,pilus assembly protein PilM
CLO1313_RS01440,Clo1313_0277,,acyl-CoA thioesterase
CLO1313_RS01445,Clo1313_0278,spoVB,stage V sporulation protein B
CLO1313_RS01450,Clo1313_0280,,PLP-dependent aminotransferase family protein
CLO1313_RS01455,Clo1313_0281,,decaprenyl-phosphate phosphoribosyltransferase
CLO1313_RS01460,Clo1313_0282,,acyltransferase
CLO1313_RS01465,Clo1313_0283,,glycosyltransferase family 1 protein
CLO1313_RS01470,Clo1313_0284,,DUF4330 domain-containing protein
CLO1313_RS01475,Clo1313_0285,,polymerase
CLO1313_RS01480,Clo1313_0286,,hypothetical protein
CLO1313_RS01485,Clo1313_0287,,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
CLO1313_RS01490,Clo1313_0288,alr,alanine racemase
CLO1313_RS01495,Clo1313_0289,,CopG family transcriptional regulator
CLO1313_RS01500,Clo1313_0290,,type II toxin-antitoxin system PemK/MazF family toxin
CLO1313_RS01505,Clo1313_0291,,hypothetical protein
CLO1313_RS01510,Clo1313_0292,,glycosyltransferase
CLO1313_RS01515,Clo1313_0293,csaB,polysaccharide pyruvyl transferase CsaB
CLO1313_RS01520,Clo1313_0294,,YitT family protein
CLO1313_RS01525,Clo1313_0295,,transketolase
CLO1313_RS01530,Clo1313_0296,,transketolase
CLO1313_RS01535,Clo1313_0297,,ABC transporter
CLO1313_RS01540,Clo1313_0298,,ABC transporter permease
CLO1313_RS01545,Clo1313_0299,,ABC transporter
CLO1313_RS01550,Clo1313_0300,,DUF4340 domain-containing protein
CLO1313_RS01555,Clo1313_0301,,hypothetical protein
CLO1313_RS01560,Clo1313_0302,,hypothetical protein
CLO1313_RS01565,Clo1313_0303,,colicin V production protein
CLO1313_RS01570,Clo1313_0304,ilvD,dihydroxy-acid dehydratase
CLO1313_RS01575,Clo1313_0305,ilvB,"acetolactate synthase, large subunit, biosynthetic type"
CLO1313_RS01580,Clo1313_0306,rpmG,50S ribosomal protein L33
CLO1313_RS01585,Clo1313_0307,secE,preprotein translocase subunit SecE
CLO1313_RS01590,Clo1313_0308,,transcription termination/antitermination protein NusG
CLO1313_RS01595,Clo1313_0309,rplK,50S ribosomal protein L11
CLO1313_RS01600,Clo1313_0310,,50S ribosomal protein L1
CLO1313_RS01605,Clo1313_0311,,50S ribosomal protein L10
CLO1313_RS01610,Clo1313_0312,,50S ribosomal protein L7/L12
CLO1313_RS01615,Clo1313_0313,rpoB,DNA-directed RNA polymerase subunit beta
CLO1313_RS01620,Clo1313_0314,rpoC,DNA-directed RNA polymerase subunit beta'
CLO1313_RS01625,Clo1313_0315,,50S ribosomal protein L7ae-like protein
CLO1313_RS01630,Clo1313_0316,,30S ribosomal protein S12
CLO1313_RS01635,Clo1313_0317,,30S ribosomal protein S7
CLO1313_RS01640,Clo1313_0318,fusA,elongation factor G
CLO1313_RS01645,Clo1313_0319,tuf,elongation factor Tu
CLO1313_RS01650,Clo1313_0320,,RNA polymerase subunit sigma-24
CLO1313_RS01655,Clo1313_0321,,hypothetical protein
CLO1313_RS01660,Clo1313_0322,,hypothetical protein
CLO1313_RS01665,Clo1313_0323,,vanomycin resistance protein VanB
CLO1313_RS01670,Clo1313_0324,,HPr family phosphocarrier protein
CLO1313_RS01675,Clo1313_0325,ptsP,phosphoenolpyruvate--protein phosphotransferase
CLO1313_RS01680,Clo1313_0326,,excinuclease ABC subunit C
CLO1313_RS01685,Clo1313_0327,,ser/threonine protein phosphatase
CLO1313_RS01690,Clo1313_0328,,trigger factor
CLO1313_RS01695,Clo1313_0329,clpP,ATP-dependent Clp protease proteolytic subunit
CLO1313_RS01700,Clo1313_0330,,ATP-dependent Clp protease ATP-binding subunit ClpX
CLO1313_RS01705,Clo1313_0331,lonB,ATP-dependent protease LonB
CLO1313_RS01710,Clo1313_0332,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
CLO1313_RS01715,Clo1313_0333,,lytic transglycosylase domain-containing protein
CLO1313_RS01720,Clo1313_0334,,hypothetical protein
CLO1313_RS01725,Clo1313_0335,,DUF402 domain-containing protein
CLO1313_RS01730,Clo1313_0336,,phosphatase
CLO1313_RS01735,Clo1313_0337,,SsrA-binding protein
CLO1313_RS01740,Clo1313_0338,,hypothetical protein
CLO1313_RS01745,Clo1313_0339,,DUF5071 domain-containing protein
CLO1313_RS01750,Clo1313_0341,,MBL fold protein
CLO1313_RS01755,Clo1313_0342,,DUF3006 domain-containing protein
CLO1313_RS01760,Clo1313_0343,,MBL fold metallo-hydrolase
CLO1313_RS01765,Clo1313_0344,,hypothetical protein
CLO1313_RS15515,Clo1313_0345,,IS256 family transposase
CLO1313_RS01770,Clo1313_0346,,potassium/proton antiporter
CLO1313_RS15520,Clo1313_0347,,hypothetical protein
CLO1313_RS01775,Clo1313_0348,,AraC family transcriptional regulator
CLO1313_RS01780,Clo1313_0349,,glycoside hydrolase
CLO1313_RS01785,Clo1313_0350,,glycoside hydrolase
CLO1313_RS01790,Clo1313_0351,,WYL domain-containing protein
CLO1313_RS01795,Clo1313_0352,,WYL domain-containing protein
CLO1313_RS01800,Clo1313_0353,,TROVE domain-containing protein
CLO1313_RS01805,Clo1313_0354,,hypothetical protein
CLO1313_RS01810,Clo1313_0355,,hypothetical protein
CLO1313_RS01815,Clo1313_0356,,3' terminal RNA ribose 2'-O-methyltransferase Hen1
CLO1313_RS01820,Clo1313_0357,,polynucleotide kinase-phosphatase
CLO1313_RS01825,Clo1313_0358,ric,iron-sulfur cluster repair di-iron protein
CLO1313_RS01830,Clo1313_0359,,FprA family A-type flavoprotein
CLO1313_RS01835,Clo1313_0360,,Crp/Fnr family transcriptional regulator
CLO1313_RS01840,Clo1313_0361,,hypothetical protein
CLO1313_RS01850,Clo1313_0364,,nicotinamide riboside transporter PnuC
CLO1313_RS01855,Clo1313_0365,,multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR
CLO1313_RS01860,Clo1313_0366,,zinc ribbon domain-containing protein
CLO1313_RS01865,Clo1313_0367,,hypothetical protein
CLO1313_RS01870,Clo1313_0368,,hypothetical protein
CLO1313_RS01875,Clo1313_0369,,hypothetical protein
CLO1313_RS01880,Clo1313_0370,,N-acetylmuramoyl-L-alanine amidase
CLO1313_RS15525,Clo1313_0371,,DUF2292 domain-containing protein
CLO1313_RS01885,Clo1313_0372,,cobalamin-binding protein
CLO1313_RS01890,Clo1313_0373,,MtaA/CmuA family methyltransferase
CLO1313_RS01895,Clo1313_0374,,methylcobamide--CoM methyltransferase
CLO1313_RS01900,Clo1313_0375,,ferredoxin
CLO1313_RS01905,Clo1313_0376,,DUF1847 domain-containing protein
CLO1313_RS01910,Clo1313_0377,,metal ABC transporter substrate-binding protein
CLO1313_RS01915,Clo1313_0378,,ABC transporter ATP-binding protein
CLO1313_RS01920,Clo1313_0379,,ABC transporter permease
CLO1313_RS01925,Clo1313_0380,,coenzyme F390 synthetase
CLO1313_RS01930,Clo1313_0381,,aminotransferase
CLO1313_RS01935,Clo1313_0382,,pyruvate/ketoisovalerate oxidoreductase gamma subunit
CLO1313_RS01940,Clo1313_0383,,pyruvate ferredoxin/flavodoxin oxidoreductase delta subunit
CLO1313_RS01945,Clo1313_0384,porA,2-ketoisovalerate ferredoxin oxidoreductase subunit alpha
CLO1313_RS01950,Clo1313_0385,,2-ketoisovalerate ferredoxin oxidoreductase subunit beta
CLO1313_RS01955,Clo1313_0386,,hypothetical protein
CLO1313_RS01960,Clo1313_0387,,RidA family protein
CLO1313_RS01965,Clo1313_0388,,cystathionine gamma-synthase
CLO1313_RS01970,Clo1313_0389,,putative C-S lyase
CLO1313_RS01975,Clo1313_0390,cooS,carbon-monoxide dehydrogenase catalytic subunit
CLO1313_RS01980,Clo1313_0391,,metal ABC transporter substrate-binding protein
CLO1313_RS01985,Clo1313_0392,,ABC transporter permease
CLO1313_RS01990,Clo1313_0393,,ABC transporter ATP-binding protein
CLO1313_RS01995,Clo1313_0394,,carbohydrate-binding protein
CLO1313_RS02000,Clo1313_0395,,endoglucanase
CLO1313_RS02005,Clo1313_0396,,LacI family transcriptional regulator
CLO1313_RS02010,Clo1313_0397,,glycoside hydrolase
CLO1313_RS02015,Clo1313_0398,,Na/Pi cotransporter family protein
CLO1313_RS02020,Clo1313_0399,,glycoside hydrolase
CLO1313_RS02025,Clo1313_0400,,glycoside hydrolase
CLO1313_RS02030,Clo1313_0401,,DNA-binding response regulator
CLO1313_RS02035,Clo1313_0402,,two-component sensor histidine kinase
CLO1313_RS02040,Clo1313_0403,,lysine--tRNA ligase
CLO1313_RS02045,Clo1313_0405,,chemotaxis protein CheW
CLO1313_RS02050,Clo1313_0406,,chemotaxis protein CheA
